lat,long,altitude,pix
 5.0, 103.55,  -36,#2E7480
 5.0, 104.05,  -65,#2E727F
 5.0, 104.55,  -61,#2E727F
 5.0, 105.05,  -75,#2E727F
 5.0, 105.55,  -82,#2E727F
 5.0, 106.05,  -92,#2E727F
 5.0, 106.55,  -70,#2E727F
 5.0, 107.05,  -83,#2E727F
 5.0, 107.55,  -98,#2D717E
 5.0, 108.05,  -84,#2E727F
 5.0, 108.55, -123,#2E727F
 5.0, 109.05, -113,#2D717E
 5.0, 109.55, -117,#2D717E
 5.0, 110.05, -132,#2E727F
 5.0, 110.55, -127,#2D717E
 5.0, 111.05, -101,#2E727F
 5.0, 111.55, -108,#2E727F
 5.0, 112.05, -104,#2E727F
 5.0, 112.55, -117,#317381
 5.0, 113.05, -100,#2E727F
 5.0, 113.55, -223,#2F6476
 5.0, 114.05,  -67,#2E7480
 5.0, 114.55,  -32,#2F7581
 5.0, 115.05,    3,#4F5936
 5.0, 115.55,   16,#415426
 5.0, 116.05,  816,#1B2E01
 5.0, 116.55,  603,#313F0C
 5.0, 117.10,  429,#293F18
 5.0, 117.60,  563,#243E0F
 5.0, 118.10,  151,#1F3811
 5.0, 118.60,   22,#476132
 5.0, 119.10,  -98,#2D6C7B
 5.0, 119.60, -347,#266A77
 5.0, 120.10, -136,#306668
 5.0, 120.60,-3260,#0B3B49
 5.0, 121.10,-4275,#013644
 5.0, 121.60,-4598,#003546
 5.0, 122.10,-4881,#023246
 5.0, 122.60,-4460,#00232F
 5.0, 123.10,-4906,#002F43
 5.0, 123.60,-4947,#003044
 5.0, 124.10,-5020,#002C40
 5.0, 124.60,-4887,#002939
 5.0, 125.10,-5549,#00293F
 5.0, 125.60,-1178,#14525F
 5.0, 126.10,-3133,#154454
 5.0, 126.60,-3196,#124654
 5.0, 127.10,-1689,#174552
 5.0, 127.60,-4879,#00364A
 5.0, 128.10,-8273,#01172F
 5.0, 128.60,-5227,#003046
 5.0, 129.10,-5114,#012E43
 5.0, 129.60,-4989,#003043
 5.0, 130.10,-4745,#033848
 5.0, 130.60,-5116,#012C3C
 5.0, 131.10,-4786,#002C40
 5.0, 131.60,-4142,#022C38
 5.0, 132.10,-2526,#15414C
 5.0, 132.60,-3072,#154A5A
 5.0, 133.10,-3793,#113B47
 5.0, 133.60,-3055,#1E5067
 5.0, 134.10,-4206,#023342
 5.0, 134.60,-4479,#002C3A
 5.0, 135.15,-4591,#0A2F3F
 5.0, 135.65,-4575,#003243
 5.0, 136.15,-3774,#1A4B5A
 5.0, 136.65,-4757,#083242
 5.0, 137.15,-3508,#113A4C
 5.0, 137.65,-4302,#0C3D4E
 5.0, 138.15,-4286,#003446
 5.0, 138.65,-4205,#022632
 5.0, 139.15,-4275,#0B3B4F
 5.0, 139.65,-4161,#093C4F
 5.0, 140.15,-4202,#0A3D50
 5.0, 140.65,-4010,#0C3F52
 5.0, 141.15,-3582,#0F4255
 5.0, 141.65,-3115,#144D5E
 5.0, 142.15,-2545,#1C5566
 5.0, 142.65,-2626,#134858
 5.0, 143.15,-3138,#124757
 5.0, 143.65,-3581,#0F3E48
 5.0, 144.15,-3744,#0E4154
 5.0, 144.65,-3929,#0B3E51
 5.0, 145.15,-4109,#09394D
 5.0, 145.65,-4119,#063E4D
 5.0, 146.15,-4418,#023749
 5.0, 146.65,-4186,#093C4F
 5.0, 147.15,-4224,#002B3B
 5.0, 147.65,-4729,#03232E
 5.0, 148.15,-3230,#174B60
 5.0, 148.65,-4317,#0C3A52
 5.0, 149.15,-4254,#083B4E
 5.0, 149.65,-5083,#002D40
 5.0, 150.15,-4931,#002F41
 5.0, 150.65,-4627,#023749
 5.0, 151.15,-4641,#01354A
 5.0, 151.65,-4544,#003748
 5.0, 152.15,-4611,#00364A
 5.0, 152.65,-4512,#003849
 5.0, 153.20,-3859,#0A3D50
 5.0, 153.70,-2862,#134453
 5.0, 154.20,-3719,#0E4154
 5.0, 154.70,-3945,#0E4152
 5.0, 155.20,-3434,#114658
 5.0, 155.70,-3545,#0E4152
 5.0, 156.20,-3560,#0F4456
 5.0, 156.70,-3800,#0E4154
 5.0, 157.20,-3638,#124759
 5.0, 157.70,-3329,#14495B
 5.0, 158.20,-3066,#194756
 5.0, 158.70,-3482,#14475A
 5.0, 159.20,-3822,#0D4053
 5.0, 159.70,-3987,#0A3D50
 5.0, 160.20,-3966,#0C3F52
