lat,long,altitude,pix
-17.5,-142.00,-2203,#124653
-17.5,-141.50,-3225,#052027
-17.5,-140.95,-3514,#104356
-17.5,-140.45,-3854,#063346
-17.5,-139.90,-3563,#104557
-17.5,-139.40,-3037,#124A59
-17.5,-138.85,-2439,#18505F
-17.5,-138.35,-2860,#164652
-17.5,-137.80,-2807,#174F60
-17.5,-137.30,-3212,#114956
-17.5,-136.75,-3614,#104557
-17.5,-136.25,-3657,#0F4456
-17.5,-135.70,-3962,#00384C
-17.5,-135.20,-4414,#023B4E
-17.5,-134.65,-4390,#003549
-17.5,-134.15,-4285,#01384C
-17.5,-133.60,-4472,#003446
-17.5,-133.10,-4201,#0A3D50
-17.5,-132.60,-4352,#003647
-17.5,-132.05,-4385,#04384D
-17.5,-131.55,-4206,#093C4F
-17.5,-131.00,-4248,#093D52
-17.5,-130.50,-4212,#0D3D51
-17.5,-129.95,-4145,#0A3D50
-17.5,-129.45,-4114,#0B3E51
-17.5,-128.90,-4136,#083B4C
-17.5,-128.40,-4180,#0A3D50
-17.5,-127.85,-4052,#0E4152
-17.5,-127.35,-4012,#0C4153
-17.5,-126.80,-3803,#0B3949
-17.5,-126.30,-3669,#0D4252
-17.5,-125.75,-3333,#0C3D4B
-17.5,-125.25,-3858,#0C3F50
-17.5,-124.70,-3818,#0D4053
-17.5,-124.20,-3796,#0F4255
-17.5,-123.65,-3685,#0E4154
-17.5,-123.15,-3836,#0D4053
-17.5,-122.60,-3676,#0D4554
-17.5,-122.10,-3678,#0D4657
-17.5,-121.55,-3684,#134455
-17.5,-121.05,-3717,#0A3F51
-17.5,-120.50,-3660,#0D3B4A
-17.5,-120.00,-3499,#114457
-17.5,-119.50,-3670,#0F4255
-17.5,-118.95,-3378,#154657
-17.5,-118.45,-3340,#124556
-17.5,-117.90,-3380,#0A3D4E
-17.5,-117.40,-3128,#124258
-17.5,-116.85,-3457,#012B37
-17.5,-116.35,-3072,#184D5D
-17.5,-115.80,-2419,#16505C
-17.5,-115.30,-2852,#1E4C59
-17.5,-114.75,-2708,#154859
-17.5,-114.25,-2986,#032225
-17.5,-113.70,-2752,#1D5262
-17.5,-113.20,-2734,#184153
-17.5,-112.65,-3239,#0E3844
-17.5,-112.15,-3208,#134455
-17.5,-111.60,-3297,#144556
-17.5,-111.10,-3310,#0D4051
-17.5,-110.55,-3509,#083747
-17.5,-110.05,-3506,#114455
-17.5,-109.50,-3672,#104152
-17.5,-109.00,-3795,#0E4355
-17.5,-108.45,-3842,#114455
-17.5,-107.95,-3674,#0E4355
-17.5,-107.40,-4061,#043546
-17.5,-106.90,-3810,#0C3D4E
-17.5,-106.40,-3651,#0D3E4F
-17.5,-105.85,-3761,#093A4B
-17.5,-105.35,-4278,#0C3C50
-17.5,-104.80,-4170,#0C3F52
-17.5,-104.30,-4027,#083B4E
-17.5,-103.75,-3863,#093C4D
-17.5,-103.25,-4003,#0D4053
-17.5,-102.70,-3956,#144556
-17.5,-102.20,-3845,#0D4053
-17.5,-101.65,-4085,#093C4F
-17.5,-101.15,-3928,#0B3E51
-17.5,-100.60,-4152,#0B3B4F
-17.5,-100.10,-4178,#0B3B4F
-17.5, -99.55,-4402,#063748
-17.5, -99.05,-4268,#083D4F
-17.5, -98.50,-4386,#00394A
-17.5, -98.00,-4278,#033B4C
-17.5, -97.45,-4256,#01354A
-17.5, -96.95,-3925,#003044
-17.5, -96.40,-4215,#0E4154
-17.5, -95.90,-4238,#073A4D
-17.5, -95.35,-4309,#0D4053
-17.5, -94.85,-4693,#00384C
-17.5, -94.30,-4094,#0B4052
-17.5, -93.80,-3985,#04374A
-17.5, -93.30,-3751,#0B3F4D
-17.5, -92.75,-4197,#053A4C
-17.5, -92.25,-4399,#083749
-17.5, -91.70,-4468,#01394A
-17.5, -91.20,-4350,#08384E
-17.5, -90.65,-4245,#083C51
-17.5, -90.15,-4405,#00364A
-17.5, -89.60,-4534,#003849
-17.5, -89.10,-4382,#00374B
-17.5, -88.55,-4277,#00374B
-17.5, -88.05,-4531,#02394D
-17.5, -87.50,-4479,#003549
-17.5, -87.00,-4325,#03384A
-17.5, -86.45,-4576,#003344
-17.5, -85.95,-4418,#003B4B
-17.5, -85.40,-4251,#0B3E4F
-17.5, -84.90,-4573,#033349
-17.5, -84.35,-4432,#003748
-17.5, -83.85,-4402,#023548
-17.5, -83.30,-4573,#00364A
-17.5, -82.80,-4358,#013648
-17.5, -82.25,-4413,#01354A
-17.5, -81.75,-4487,#00374B
-17.5, -81.20,-4264,#01354A
-17.5, -80.70,-4443,#02364B
-17.5, -80.15,-4119,#0D3C50
-17.5, -79.65,-3816,#0D4254
-17.5, -79.15,-2904,#174F5E
-17.5, -78.60,-3089,#164E5D
-17.5, -78.10,-3369,#0D3C4C
-17.5, -77.55,-3679,#104152
-17.5, -77.05,-3888,#0D3E4F
-17.5, -76.50,-4371,#003246
-17.5, -76.00,-4242,#023B4C
-17.5, -75.45,-4492,#002F40
-17.5, -74.95,-4469,#003849
-17.5, -74.40,-4753,#012C3D
-17.5, -73.90,-5299,#032E3F
-17.5, -73.35,-5984,#01253B
-17.5, -72.85,-2902,#124351
-17.5, -72.30,-1471,#225D6D
-17.5, -71.80, -523,#21636F
-17.5, -71.25, 1298,#D0AA79
-17.5, -70.75, 1000,#BA9872
-17.5, -70.20, 2129,#CCB186
-17.5, -69.70, 4987,#C0A067
-17.5, -69.15, 4069,#C59F6E
-17.5, -68.65, 3977,#A78758
-17.5, -68.10, 3774,#C5A373
-17.5, -67.60, 3735,#C7A069
-17.5, -67.05, 4520,#8A6A31
-17.5, -66.55, 3309,#6C4F27
-17.5, -66.05, 3062,#906D35
-17.5, -65.50, 3997,#8B6939
-17.5, -65.00, 1036,#4A581D
-17.5, -64.45, 1626,#1A2C00
-17.5, -63.95,  536,#41521E
-17.5, -63.40,  348,#525F2A
-17.5, -62.90,  298,#746C3E
-17.5, -62.35,  275,#736C40
-17.5, -61.85,  272,#48501F
-17.5, -61.30,  254,#4F5A30
-17.5, -60.80,  254,#3D5229
-17.5, -60.25,  345,#384A22
-17.5, -59.75,  334,#384622
-17.5, -59.20,  322,#434F29
-17.5, -58.70,  135,#455129
-17.5, -58.15,  111,#4C522C
-17.5, -57.65,   96,#314329
-17.5, -57.10,  109,#4C542D
-17.5, -56.60,  113,#4E552C
-17.5, -56.05,  124,#4C4C26
-17.5, -55.55,  140,#50592E
-17.5, -55.00,  190,#675E33
-17.5, -54.50,  506,#4F5527
-17.5, -53.95,  670,#6E5B30
-17.5, -53.45,  743,#585623
-17.5, -52.95,  790,#646430
-17.5, -52.40,  879,#5D672B
-17.5, -51.90,  836,#4F5823
-17.5, -51.35,  925,#6C6936
-17.5, -50.85,  668,#68602F
-17.5, -50.30,  486,#5A4F21
-17.5, -49.80,  583,#6C6030
-17.5, -49.25,  663,#525520
-17.5, -48.75,  756,#5B5823
-17.5, -48.20,  772,#5B5A21
-17.5, -47.70,  888,#574F21
-17.5, -47.15,  943,#6C6433
-17.5, -46.65,  550,#655E32
-17.5, -46.10,  557,#64612C
-17.5, -45.60,  725,#646432
-17.5, -45.05,  623,#525123
-17.5, -44.55,  624,#776535
-17.5, -44.00,  627,#656028
-17.5, -43.50,  635,#7B7440
-17.5, -42.95,  806,#5C501E
-17.5, -42.45,  889,#5F582A
-17.5, -41.90,  972,#48471B
-17.5, -41.40,  379,#756B3A
-17.5, -40.85,  263,#6A6233
-17.5, -40.35,  260,#726338
-17.5, -39.85,  138,#5D683D
-17.5, -39.30,   21,#6A6641
-17.5, -38.80,  -20,#2F7581
-17.5, -38.25, -173,#226472
-17.5, -37.75,-2617,#1A4B59
-17.5, -37.20,-3725,#0E4154
-17.5, -36.70,-3824,#0E4154
-17.5, -36.15,-3822,#0F4255
-17.5, -35.65,-3837,#104354
-17.5, -35.10,-4205,#073C4E
-17.5, -34.60,-4302,#013A4E
-17.5, -34.05,-4416,#013A4B
-17.5, -33.55,-4442,#00374B
-17.5, -33.00,-4481,#00374B
-17.5, -32.50,-4509,#00374B
-17.5, -31.95,-4639,#01354A
-17.5, -31.45,-4772,#003547
-17.5, -30.90,-4843,#003345
-17.5, -30.40,-4855,#003247
-17.5, -29.85,-4876,#003247
-17.5, -29.35,-5009,#013145
-17.5, -28.80,-5117,#013145
-17.5, -28.30,-5127,#002F43
-17.5, -27.75,-5287,#003044
-17.5, -27.25,-5478,#00293F
-17.5, -26.70,-5538,#032E3F
-17.5, -26.20,-5668,#00283C
-17.5, -25.70,-5850,#001F2E
-17.5, -25.15,-5419,#003144
-17.5, -24.65,-5099,#002F43
-17.5, -24.10,-5151,#002C3C
-17.5, -23.60,-5365,#002E42
-17.5, -23.05,-4892,#013147
-17.5, -22.55,-4796,#003449
-17.5, -22.00,-4619,#022332
-17.5, -21.50,-5119,#001D2C
-17.5, -20.95,-4849,#003247
-17.5, -20.45,-4625,#002D42
-17.5, -19.90,-4688,#013648
-17.5, -19.40,-4619,#01384C
-17.5, -18.85,-4053,#0B3E53
-17.5, -18.35,-3811,#104557
-17.5, -17.80,-3663,#0D3C4E
-17.5, -17.30,-3878,#0C3A4A
-17.5, -16.75,-3908,#002A38
-17.5, -16.25,-3179,#124A5B
-17.5, -15.70,-3130,#13485A
-17.5, -15.20,-3781,#0B4350
-17.5, -14.65,-3515,#114253
-17.5, -14.15,-4050,#00303E
-17.5, -13.60,-2823,#104555
-17.5, -13.10,-3015,#0D333E
-17.5, -12.60,-3601,#0D3D4B
-17.5, -12.05,-3435,#124A5B
-17.5, -11.55,-3888,#0F3B48
-17.5, -11.00,-3280,#134659
-17.5, -10.50,-3639,#0F4255
-17.5,  -9.95,-2619,#1D5A6C
-17.5,  -9.45,-3733,#0F4456
-17.5,  -8.90,-3219,#0E3A47
-17.5,  -8.40,-4135,#0C3F52
-17.5,  -7.85,-3941,#0E4353
-17.5,  -7.35,-4113,#043B4F
-17.5,  -6.80,-4112,#053549
-17.5,  -6.30,-3842,#073B51
-17.5,  -5.75,-4298,#02394D
-17.5,  -5.25,-4456,#003243
-17.5,  -4.70,-4637,#003449
-17.5,  -4.20,-4403,#023344
-17.5,  -3.65,-4576,#00394B
-17.5,  -3.15,-4739,#002D42
-17.5,  -2.60,-4855,#001D31
-17.5,  -2.10,-4991,#013145
-17.5,  -1.55,-5114,#023048
-17.5,  -1.05,-4608,#043448
-17.5,  -0.50,-5241,#002C41
-17.5,   0.00,-5238,#003644
-17.5,   0.50,-5157,#002F43
-17.5,   1.05,-5387,#042A3F
-17.5,   1.55,-5391,#002D42
-17.5,   2.10,-5481,#012E43
-17.5,   2.60,-5521,#013044
-17.5,   3.15,-5432,#002F43
-17.5,   3.65,-5473,#002E42
-17.5,   4.20,-5468,#002E45
-17.5,   4.70,-5453,#002F43
-17.5,   5.25,-5470,#002F43
-17.5,   5.75,-5560,#002F43
-17.5,   6.30,-5280,#002F43
-17.5,   6.80,-5071,#013145
-17.5,   7.35,-5071,#002F43
-17.5,   7.85,-4944,#023246
-17.5,   8.40,-5031,#002F43
-17.5,   8.90,-4648,#01354A
-17.5,   9.45,-4282,#09394D
-17.5,   9.95,-4009,#0C4153
-17.5,  10.50,-3466,#114457
-17.5,  11.00,-2368,#1F5869
-17.5,  11.55, -151,#2E727F
-17.5,  12.05,  442,#ECCCA3
-17.5,  12.60,  650,#B88E5E
-17.5,  13.10, 1279,#9E7C4E
-17.5,  13.60,  990,#BA8E61
-17.5,  14.15, 1114,#966F44
-17.5,  14.65, 1110,#B69977
-17.5,  15.20, 1109,#D6B892
-17.5,  15.70, 1109,#C4A98B
-17.5,  16.25, 1111,#A78F6B
-17.5,  16.75, 1146,#867047
-17.5,  17.30, 1161,#7A6236
-17.5,  17.80, 1162,#7D6235
-17.5,  18.35, 1145,#A3885D
-17.5,  18.85, 1144,#9D7E52
-17.5,  19.40, 1137,#826A3E
-17.5,  19.90, 1130,#8C774A
-17.5,  20.45, 1112,#87744A
-17.5,  20.95, 1096,#8C774C
-17.5,  21.50, 1056,#7F6D49
-17.5,  22.00, 1030,#806E48
-17.5,  22.55, 1011,#7F6D47
-17.5,  23.05,  997,#826D42
-17.5,  23.60, 1010,#7E653C
-17.5,  24.10, 1016,#7B5F37
-17.5,  24.65,  936,#5A572C
-17.5,  25.15,  943,#7D6742
-17.5,  25.70, 1066,#8B6D49
-17.5,  26.20, 1114,#9D8058
-17.5,  26.70, 1276,#8B6B42
-17.5,  27.25,  528,#8D754F
-17.5,  27.75,  671,#81643C
-17.5,  28.30,  780,#826847
-17.5,  28.80,  775,#927951
-17.5,  29.35,  862,#785C34
-17.5,  29.85, 1083,#7F6937
-17.5,  30.40, 1323,#876A3E
-17.5,  30.90, 1331,#6C552B
-17.5,  31.45, 1178,#605A28
-17.5,  31.95, 1105,#665625
-17.5,  32.50,  845,#88704A
-17.5,  33.00,  696,#88754B
-17.5,  33.55,  659,#605225
-17.5,  34.05,  418,#5D5628
-17.5,  34.60,  315,#654F2A
-17.5,  35.10,   38,#4D5229
-17.5,  35.65,  270,#535224
-17.5,  36.15,  100,#425327
-17.5,  36.70,   35,#615935
-17.5,  37.20,   19,#525526
-17.5,  37.75,   -9,#4C6B59
-17.5,  38.25,  -39,#357483
-17.5,  38.80,-1057,#174F5C
-17.5,  39.30,-2006,#1B505E
-17.5,  39.85,-2113,#1A5261
-17.5,  40.35,-2194,#14525F
-17.5,  40.85,-2503,#195160
-17.5,  41.40,-2705,#164E5D
