lat,long,altitude,pix
29.0, 149.45,-5984,#012A40
29.0, 150.00,-5910,#022B41
29.0, 150.55,-5996,#022B41
29.0, 151.15,-5847,#002B40
29.0, 151.70,-5909,#022B41
29.0, 152.30,-5724,#002C41
29.0, 152.85,-5777,#002D42
29.0, 153.45,-5853,#002D42
29.0, 154.00,-5996,#002C41
29.0, 154.55,-5940,#002C41
29.0, 155.15,-5958,#012A40
29.0, 155.70,-5936,#012942
29.0, 156.30,-6185,#03263C
29.0, 156.85,-5824,#022F44
29.0, 157.45,-5724,#012A40
29.0, 158.00,-5853,#002C41
29.0, 158.55,-5958,#012A40
29.0, 159.15,-5886,#002C41
29.0, 159.70,-5776,#002C41
29.0, 160.30,-5446,#001E2F
29.0, 160.85,-5670,#002A40
29.0, 161.45,-5905,#002B40
29.0, 162.00,-5843,#002D42
29.0, 162.55,-5845,#002C41
29.0, 163.15,-6014,#002A3F
29.0, 163.70,-5945,#012A40
29.0, 164.30,-5930,#002C41
29.0, 164.85,-5896,#002C41
29.0, 165.45,-5750,#002B40
29.0, 166.00,-5687,#001C2B
29.0, 166.55,-5846,#02293A
29.0, 167.15,-5787,#00273A
29.0, 167.70,-6040,#00293F
29.0, 168.30,-5938,#002D42
29.0, 168.85,-5714,#002C41
29.0, 169.45,-5655,#002D42
29.0, 170.00,-5795,#002C41
29.0, 170.55,-5702,#002C41
29.0, 171.15,-5888,#002C41
29.0, 171.70,-5593,#021C2B
29.0, 172.30,-5680,#002D42
29.0, 172.85,-5645,#002C41
29.0, 173.45,-5738,#002F43
29.0, 174.00,-5274,#002D41
29.0, 174.55,-5589,#012E43
29.0, 175.15,-5459,#002D41
29.0, 175.70,-5182,#012636
29.0, 176.30,-4661,#002D43
29.0, 176.85,-4990,#012E4B
29.0, 177.45,-5056,#002E42
29.0, 178.00,-5134,#002F43
29.0, 178.55,-5263,#002E42
29.0, 179.15,-5270,#002F43
29.0, 179.70,-5221,#003044
29.0,-179.70,-3184,#164E5F
29.0,-179.15,-3829,#0E3E54
29.0,-178.55,-2411,#0A323E
29.0,-178.00,-4424,#002B36
29.0,-177.45,-5267,#002E42
29.0,-176.85,-5381,#002F43
29.0,-176.30,-5209,#003046
29.0,-175.70,-5178,#002F43
29.0,-175.15,-5249,#002F43
29.0,-174.55,-5342,#002E42
29.0,-174.00,-2573,#07232E
29.0,-173.45,-5302,#002F43
29.0,-172.85,-5097,#002F43
29.0,-172.30,-4924,#013145
29.0,-171.70,-4498,#003143
29.0,-171.15,-5136,#013145
29.0,-170.55,-5118,#002F43
29.0,-170.00,-4992,#013145
29.0,-169.45,-4983,#003044
29.0,-168.85,-5091,#013145
29.0,-168.30,-5088,#002F43
29.0,-167.70,-5140,#002F43
29.0,-167.15,-5254,#003044
