lat,long,altitude,pix
54.5, 152.10, -429,#666843
54.5, 152.95, -513,#6B6448
54.5, 153.80, -416,#535935
54.5, 154.65, -200,#656237
54.5, 155.50,  -28,#525329
54.5, 156.35,  161,#4C5528
54.5, 157.25,  457,#4D562B
54.5, 158.10,  889,#434F29
54.5, 158.95,  970,#575D2D
54.5, 159.80, 1350,#55532D
54.5, 160.65,   -3,#6E6739
54.5, 161.55,   -3,#55622D
54.5, 162.40,-1874,#222F11
54.5, 163.25,-5108,#675D39
54.5, 164.10,-5417,#4E572C
54.5, 164.95,-4674,#2E330A
54.5, 165.80,-6337,#756F3D
54.5, 166.70, -282,#2A2E0D
54.5, 167.55, -252,#534F2C
54.5, 168.40, -333,#4F5E3F
54.5, 169.25,-3548,#464D23
54.5, 170.10,-3686,#535524
54.5, 171.00,-3746,#5C5D35
54.5, 171.85,-3886,#666455
54.5, 172.70,-3907,#404D22
54.5, 173.55,-3886,#374C21
54.5, 174.40,-3903,#4B582A
54.5, 175.25,-2968,#858062
54.5, 176.15,-2657,#5C5C28
54.5, 177.00,-3116,#473E1D
54.5, 177.85,-2644,#4D552E
54.5, 178.70,-1259,#5E6637
54.5, 179.55, -691,#162113
55.0,-179.55,-3766,#404F28
55.0,-178.70,-3835,#384527
55.0,-177.80,-3790,#2D372E
55.0,-176.95,-3777,#14141E
55.0,-176.10,-3735,#424B2E
55.0,-175.20,-3682,#3F4625
55.0,-174.35,-3612,#333F27
55.0,-173.45,-3568,#4E5237
55.0,-172.60,-3554,#5E5F40
55.0,-171.70,-3391,#394723
55.0,-170.85,-3173,#4C5129
55.0,-170.00,-2727,#565833
55.0,-169.10,-2372,#635D3B
55.0,-168.25,-1684,#23261D
55.0,-167.35, -258,#444523
55.0,-166.50, -144,#646142
55.0,-165.60, -120,#4C4729
55.0,-164.75,  -72,#584D31
55.0,-163.85,   18,#746442
55.0,-163.00,  -49,#615A3E
55.0,-162.15,   -1,#5E573B
55.0,-161.25, -108,#615B45
55.0,-160.40,  -48,#635C42
55.0,-159.50,   -1,#756A54
55.0,-158.65, -134,#52503B
55.0,-157.75,  -82,#60563B
55.0,-156.90, -786,#6E624C
55.0,-156.05,-2276,#6C614F
55.0,-155.15,-3228,#6D654E
55.0,-154.30,-5429,#6A5C42
55.0,-153.40,-4543,#0C1C2C
55.0,-152.55,-4141,#695E4C
55.0,-151.65,-3961,#215763
55.0,-150.80,-3864,#9D8E7B
55.0,-149.95,-4176,#2B6F7A
55.0,-149.05,-4152,#2E727F
55.0,-148.20,-4039,#2E707E
55.0,-147.30,-4140,#2D717E
55.0,-146.45,-4139,#2E727F
55.0,-145.55,-4058,#2F7581
55.0,-144.70,-4059,#2E7480
55.0,-143.85,-3975,#2F7581
55.0,-142.95,-3535,#327E7C
55.0,-142.10,-3690,#736A41
55.0,-141.20,-3493,#908267
55.0,-140.35,-2803,#716652
55.0,-139.45,-3168,#705F45
55.0,-138.60,-3027,#5F5744
55.0,-137.70,-2912,#434247
55.0,-136.85,-2901,#2B6571
55.0,-136.00,-2729,#938876
55.0,-135.10,-2416,#A4968D
55.0,-134.25, -244,#2E707E
55.0,-133.35, -192,#2C707D
55.0,-132.50,    2,#296D7A
55.0,-131.60,   23,#2B6D7B
55.0,-130.75,  163,#296B79
55.0,-129.90,  114,#296B79
55.0,-129.00,  286,#276977
55.0,-128.15,  808,#2E727F
55.0,-127.25,  623,#292F2B
55.0,-126.40,  939,#343321
55.0,-125.50, 1149,#555B4F
55.0,-124.65,  985,#E8E3E9
55.0,-123.80, 1026,#FFFFFF
55.0,-122.90, 1037,#FFFFFF
55.0,-122.05, 1701,#FFFFFF
55.0,-121.15, 1461,#FFFFFF
55.0,-120.30, 1033,#FFFFFF
55.0,-119.40,  675,#FFFFFF
55.0,-118.55,  627,#FFFFFF
55.0,-117.70,  758,#D8D6D9
55.0,-116.80,  816,#1C4853
55.0,-115.95,  826,#2A6271
55.0,-115.05, 1081,#2C6A79
55.0,-114.20,  593,#2C707D
55.0,-113.30,  677,#2D6F7D
55.0,-112.45,  550,#2B6976
55.0,-111.55,  601,#2C6E7A
55.0,-110.70,  670,#2D6878
55.0,-109.85,  603,#235E6E
55.0,-108.95,  660,#276977
55.0,-108.10,  461,#2D717E
55.0,-107.20,  508,#2D717E
55.0,-106.35,  422,#5A5535
55.0,-105.45,  383,#11232F
55.0,-104.60,  394,#5D5D37
55.0,-103.75,  364,#384B2D
55.0,-102.85,  357,#617140
55.0,-102.00,  359,#988D60
55.0,-101.10,  331,#6F603F
55.0,-100.25,  318,#77674D
55.0, -99.35,  255,#43582F
55.0, -98.50,  231,#2F7380
55.0, -97.65,  198,#2E727F
55.0, -96.75,  223,#266876
55.0, -95.90,  237,#286776
55.0, -95.00,  213,#246470
55.0, -94.15,  180,#1F5766
55.0, -93.25,  176,#184F64
55.0, -92.40,  154,#0D3E4F
55.0, -91.55,  116,#0E3F50
55.0, -90.65,  120,#13485A
55.0, -89.80,  106,#154A5C
55.0, -88.90,   97,#0A3D4E
55.0, -88.05,   97,#18505F
55.0, -87.15,  123,#134453
55.0, -86.30,   92,#246372
55.0, -85.40,   43,#266876
55.0, -84.55,   39,#2C707D
55.0, -83.70,   43,#2A6E7B
55.0, -82.80,   15,#2C6E7E
55.0, -81.95,  -27,#2D6F7D
55.0, -81.05,  -84,#2B707F
55.0, -80.20, -133,#193246
55.0, -79.30,  -95,#3F442E
55.0, -78.45,   42,#726B5B
55.0, -77.60,  187,#3D4633
55.0, -76.70,  200,#384529
55.0, -75.85,  286,#485029
55.0, -74.95,  284,#303E1B
55.0, -74.10,  410,#3A4326
55.0, -73.20,  393,#344729
55.0, -72.35,  394,#307280
55.0, -71.50,  427,#2F7581
55.0, -70.60,  557,#3E4A34
55.0, -69.75,  481,#3B4A33
55.0, -68.85,  572,#3D5533
55.0, -68.00,  619,#475436
55.0, -67.10,  498,#3C512A
55.0, -66.25,  525,#4C502B
55.0, -65.40,  479,#323D35
55.0, -64.50,  479,#524D27
55.0, -63.65,  508,#307682
55.0, -62.75,  554,#2C727E
55.0, -61.90,  458,#2C727E
55.0, -61.00,   73,#2E7480
55.0, -60.15,  172,#2B482A
55.0, -59.25,  257,#3D5428
55.0, -58.40,   -9,#384F23
55.0, -57.55, -185,#344A1C
55.0, -56.65, -180,#495831
55.0, -55.80, -276,#485625
55.0, -54.90, -230,#53492E
55.0, -54.05, -515,#464C26
55.0, -53.15,-2035,#404A25
55.0, -52.30,-2525,#505630
55.0, -51.45,-2792,#3C4820
55.0, -50.55,-3284,#42542C
55.0, -49.70,-3544,#57683B
55.0, -48.80,-3738,#47532B
55.0, -47.95,-3854,#444D22
55.0, -47.05,-3310,#33481F
55.0, -46.20,-3326,#53613D
55.0, -45.35,-3536,#3A521E
55.0, -44.45,-3402,#757053
55.0, -43.60,-3336,#2A451C
55.0, -42.70,-3376,#46552E
55.0, -41.85,-3332,#414F2E
55.0, -40.95,-3272,#3E5529
55.0, -40.10,-3088,#46522A
55.0, -39.25,-2777,#454D24
55.0, -38.35,-2846,#5A5A34
55.0, -37.50,-2884,#404C26
55.0, -36.60,-1796,#494E25
55.0, -35.75,-1568,#414B29
55.0, -34.85,-2185,#524F2C
55.0, -34.00,-2119,#60613F
55.0, -33.10,-2498,#3A4A25
55.0, -32.25,-2698,#31411A
55.0, -31.40,-2946,#4B5C38
55.0, -30.50,-2908,#384D24
55.0, -29.65,-3039,#40502C
55.0, -28.75,-3046,#405125
55.0, -27.90,-3084,#384E27
55.0, -27.00,-3157,#374C21
55.0, -26.15,-3353,#51582E
55.0, -25.30,-2117,#3B4D25
55.0, -24.40,-2699,#454C23
55.0, -23.55,-2935,#455526
55.0, -22.65,-3085,#4B3C25
55.0, -21.80,-3110,#344920
55.0, -20.90,-2823,#2D4722
55.0, -20.05,-1685,#5D5330
55.0, -19.20,-1437,#575B36
55.0, -18.30,-1126,#4D5C33
55.0, -17.45, -920,#454E23
55.0, -16.55,-2150,#435227
55.0, -15.70,-2403,#53542C
55.0, -14.80,-2478,#435525
55.0, -13.95,-2759,#4A5326
55.0, -13.10,-2917,#6B613D
55.0, -12.20,-2919,#475323
55.0, -11.35,-2764,#595B34
55.0, -10.45,-1619,#404F24
55.0,  -9.60,  -85,#675F3A
55.0,  -8.70,  -48,#404F24
55.0,  -7.85,   86,#5A6034
55.0,  -6.95,  101,#5A5B31
55.0,  -6.10,  291,#4F5227
55.0,  -5.25,  -43,#3D4A1E
55.0,  -4.35,  401,#424B1C
55.0,  -3.50,   10,#4F542B
55.0,  -2.60,  164,#2C4420
55.0,  -1.75,   69,#3F5023
55.0,  -0.85,  -66,#4B532A
55.0,   0.00,  -69,#51512F
55.0,   0.85,  -64,#3A5125
55.0,   1.75,  -25,#3C5420
55.0,   2.60,  -24,#525A31
55.0,   3.50,  -37,#48592D
55.0,   4.35,  -46,#645E44
55.0,   5.25,  -39,#675E33
55.0,   6.10,  -42,#6C6B3F
55.0,   6.95,  -31,#696838
55.0,   7.85,  -20,#5E5F37
55.0,   8.70,   14,#4E5B26
55.0,   9.60,   36,#555C30
55.0,  10.45,   -3,#555728
55.0,  11.35,   -6,#5B5C34
55.0,  12.20,   -3,#4B481B
55.0,  13.10,  -21,#61604B
55.0,  13.95,  -48,#837F5C
55.0,  14.80,  -12,#525828
55.0,  15.70,  -82,#73674D
55.0,  16.55,  -22,#4F5829
55.0,  17.45,  -29,#546030
55.0,  18.30,  -33,#5D6337
55.0,  19.20, -103,#515A2D
55.0,  20.05,  -25,#4B582C
55.0,  20.90,   -1,#3D5426
55.0,  21.80,   11,#575A2D
55.0,  22.65,   27,#4D552C
55.0,  23.55,   57,#444C25
55.0,  24.40,   86,#55582D
55.0,  25.30,  152,#4F5227
55.0,  26.15,  165,#4B4C20
55.0,  27.00,  180,#54542E
55.0,  27.90,  174,#4A4934
55.0,  28.75,  171,#4E5021
55.0,  29.65,  137,#5F6237
55.0,  30.50,  173,#59562D
55.0,  31.40,  193,#696F4D
55.0,  32.25,  246,#47592F
55.0,  33.10,  225,#525230
55.0,  34.00,  227,#746B5A
55.0,  34.85,  175,#67623A
55.0,  35.75,  210,#5F5D37
55.0,  36.60,  213,#4D5933
55.0,  37.50,  202,#55572F
55.0,  38.35,  194,#3F4D2C
55.0,  39.25,  101,#60603C
55.0,  40.10,  114,#5A6137
55.0,  40.95,  115,#696737
55.0,  41.85,  111,#636746
55.0,  42.70,  152,#665D40
55.0,  43.60,  182,#2F7581
55.0,  44.45,  199,#766D50
55.0,  45.35,  160,#796E52
55.0,  46.20,  165,#6E6A45
55.0,  47.05,  232,#12372F
55.0,  47.95,  170,#14353A
55.0,  48.80,  147,#2F7581
55.0,  49.70,  120,#2E7480
55.0,  50.55,  136,#B6A595
55.0,  51.45,  101,#877453
55.0,  52.30,  274,#666843
55.0,  53.15,  180,#6B6448
55.0,  54.05,  219,#535935
55.0,  54.90,  142,#656237
55.0,  55.80,   79,#525329
55.0,  56.65,  244,#4C5528
55.0,  57.55,  347,#4D562B
55.0,  58.40,  485,#434F29
55.0,  59.25,  682,#575D2D
55.0,  60.15,  327,#55532D
55.0,  61.00,  284,#6E6739
55.0,  61.90,  187,#55622D
55.0,  62.75,  175,#222F11
55.0,  63.65,  174,#675D39
55.0,  64.50,  154,#4E572C
55.0,  65.40,  143,#2E330A
55.0,  66.25,  145,#756F3D
55.0,  67.10,  140,#2A2E0D
55.0,  68.00,  127,#534F2C
55.0,  68.85,  114,#4F5E3F
55.0,  69.75,  134,#464D23
55.0,  70.60,  131,#535524
55.0,  71.50,  101,#5C5D35
55.0,  72.35,  113,#666455
55.0,  73.20,   90,#404D22
55.0,  74.10,  109,#374C21
55.0,  74.95,  108,#4B582A
55.0,  75.85,  107,#858062
55.0,  76.70,  105,#5C5C28
55.0,  77.60,  105,#473E1D
55.0,  78.45,  104,#4D552E
55.0,  79.30,  119,#5E6637
55.0,  80.20,  151,#162113
55.0,  81.05,  149,#404F28
55.0,  81.95,  180,#384527
55.0,  82.80,  106,#2D372E
55.0,  83.70,  219,#14141E
55.0,  84.55,  197,#424B2E
55.0,  85.40,  144,#3F4625
55.0,  86.30,  204,#333F27
55.0,  87.15,  443,#4E5237
55.0,  88.05,  852,#5E5F40
55.0,  88.90,  884,#394723
55.0,  89.80,  432,#4C5129
55.0,  90.65,  433,#565833
55.0,  91.55,  445,#635D3B
55.0,  92.40,  504,#23261D
55.0,  93.25,  734,#444523
55.0,  94.15,  547,#646142
55.0,  95.00,  509,#4C4729
55.0,  95.90,  459,#584D31
55.0,  96.75,  551,#746442
55.0,  97.65,  903,#615A3E
55.0,  98.50,  906,#5E573B
55.0,  99.35,  566,#615B45
55.0, 100.25,  514,#635C42
55.0, 101.10,  454,#756A54
55.0, 102.00,  652,#52503B
