lang,co,link,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,sum,tot
am,Sudan,https://am.wikipedia.org/wiki/%E1%88%B1%E1%8B%B3%E1%8A%95, 0,  0,  0,   2,  2, 0,   2,  9,  1,  1, 0,  17,  7098
ar,Sudan,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86, 1,  0, 35,  81, 47, 0,  58, 74, 26,  3, 0, 325,103330
hy,Sudan,https://hy.wikipedia.org/wiki/%D5%8D%D5%B8%D6%82%D5%A4%D5%A1%D5%B6, 0,  0,  1,   9, 12, 0,   7, 14, 18,  2, 0,  63, 34896
az,Sudan,https://az.wikipedia.org/wiki/Sudan, 0,  0,  0,  14,  8, 2,  12, 28, 10,  3, 0,  77, 15497
eu,Sudan,https://eu.wikipedia.org/wiki/Sudan, 0,  0, 11,  33, 28, 0,  20, 19,  7,  1, 0, 119, 27525
be,Sudan,https://be.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 2,  0,  3,  12,  0, 0,   8, 21,  6,  2, 0,  54, 30830
bn,Sudan,https://bn.wikipedia.org/wiki/%E0%A6%B8%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%A8, 0,  0,  1,  10, 13, 3,  14,  8,  9,  0, 0,  58, 20945
bs,Sudan,https://bs.wikipedia.org/wiki/Sudan, 0,  0,  0,  18,  4, 0,  11, 31,  1,  3, 0,  68, 32067
bg,Sudan,https://bg.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 1,  0,  3,  32, 10, 0,  37, 42,  0,  0, 0, 125, 30797
ca,Sudan,https://ca.wikipedia.org/wiki/Sudan, 0,  0,  0,  40, 19, 0,  27, 42, 21,  0, 0, 149, 39330
ceb,Sudan,https://ceb.wikipedia.org/wiki/Sudan, 0,  0,  1,   1,  0, 0,   0,  2,  0,  0, 0,   4,  5064
ny,Sudan,https://ny.wikipedia.org/wiki/Sudan, 0,  0,  0,   1,  2, 0,   3,  1,  1,  0, 0,   8,  4361
zh,Sudan,https://zh.wikipedia.org/wiki/%E8%8B%8F%E4%B8%B9, 0,  1, 14,  73, 37, 0,  72, 91, 61,  6, 0, 355, 19441
zh-TW,Sudan,https://zh-classical.wikipedia.org/wiki/%E8%98%87%E4%B8%B9, 0,  0,  0,   0,  0, 0,   0,  0,  0,  0, 0,   0,  4459
co,Sudan,https://co.wikipedia.org/wiki/Sudan, 0,  0,  0,   1,  3, 0,   0,  4,  0,  0, 0,   8,  4676
hr,Sudan,https://hr.wikipedia.org/wiki/Sudan, 0,  0,  2,  18,  5, 0,  11, 11,  7,  2, 0,  56, 17191
cs,Sudan,https://cs.wikipedia.org/wiki/S%C3%BAd%C3%A1n, 0,  0,  9,  35, 13, 0,  11, 19,  6,  3, 0,  96, 50082
