lat,long,altitude,pix,high,low
69.5,  71.15,    2,#474A2D,23.6,-35.2
69.5,  72.55,    8,#5C5737,22.1,-32.1
69.5,  74.00,   16,#615F38,22.1,-40.6
69.5,  75.40,   51,#54562F,27.4,-43.3
69.5,  76.85,    9,#5C5D33,28.2,-43.2
69.5,  78.25,   68,#585B30,28.5,-43.6
69.5,  79.70,   25,#5C5F34,28.9,-43.9
69.5,  81.10,   34,#5C5A34,29.6,-44.3
69.5,  82.55,   50,#5E6038,29.3,-44.4
69.5,  83.95,   56,#52522E,29.2,-44.2
69.5,  85.40,   23,#64623C,29.4,-43.2
69.5,  86.80,   88,#555936,29.5,-41.1
69.5,  88.20,   35,#495734,29.9,-38.5
69.5,  89.65,   68,#354329,28.0,-34.0
69.5,  91.05,  889,#626842,23.0,-37.7
69.5,  92.50, 1082,#6F6339,21.9,-37.5
69.5,  93.90, 1103,#786A45,21.4,-39.9
69.5,  95.35, 1317,#766845,20.0,-39.7
69.5,  96.75,  804,#675837,23.4,-42.0
69.5,  98.20,  872,#71613F,23.2,-38.8
69.5,  99.60,  454,#4C492A,26.2,-47.7
69.5, 101.05,  474,#9A8B6C,26.1,-51.1
69.5, 102.45,  259,#5A522D,27.8,-51.0
69.5, 103.85,  309,#5F5B35,27.4,-47.9
69.5, 105.30,  437,#5C5D33,25.9,-47.6
69.5, 106.70,  690,#837359,24.1,-48.8
69.5, 108.15,  514,#5A5430,24.9,-48.9
69.5, 109.55,  228,#454E23,26.7,-47.4
69.5, 111.00,  408,#59542C,26.3,-52.1
69.5, 112.40,  453,#7A7A54,26.5,-51.4
69.5, 113.85,  239,#3C4E24,28.0,-52.0
69.5, 115.25,   94,#49542C,29.6,-51.9
69.5, 116.70,  168,#3A4C22,29.9,-51.9
69.5, 118.10,   39,#37461F,31.2,-50.6
69.5, 119.55,  194,#494F29,30.8,-49.9
69.5, 120.95,  257,#4F5227,30.6,-48.8
69.5, 122.35,   65,#494D28,31.3,-50.5
69.5, 123.80,  100,#545931,30.5,-51.3
69.5, 125.20,   97,#585832,29.1,-51.5
