lat,long,altitude,pix,high,low
44.0,  31.60,-1496,#235E6C,27.8, -1.2
44.0,  32.30,-1966,#225D6B,27.6, -1.6
44.0,  33.00,-2254,#1F5967,27.8, -1.6
44.0,  33.70,-1942,#18525D,28.5, -1.5
44.0,  34.40,-2089,#1D5667,28.0, -0.6
44.0,  35.10,-2040,#1D5667,28.4, -1.1
44.0,  35.80,-1787,#1E5768,29.0, -1.1
44.0,  36.50,-1939,#1E5866,29.5, -0.8
44.0,  37.20,-2108,#1D5868,29.6, -0.2
44.0,  37.90,-1774,#1D5868,30.3, -0.5
44.0,  38.55,-1203,#26626D,30.9, -0.7
44.0,  39.25,  279,#2D4C23,32.5, -7.2
44.0,  39.95, 2353,#797548,21.7,-24.0
44.0,  40.65, 1099,#2A4117,28.4,-17.2
44.0,  41.35, 1106,#4A592E,29.5,-18.3
44.0,  42.05,  844,#787E50,33.9,-16.4
44.0,  42.75,  858,#747041,31.6,-12.2
44.0,  43.45,  400,#8B7D50,36.5,-11.4
44.0,  44.15,  190,#717D4F,39.5, -7.7
44.0,  44.85,  127,#867750,39.5, -5.6
44.0,  45.50,   78,#88805B,39.9, -5.2
44.0,  46.20,   -5,#8F8164,40.1, -5.1
44.0,  46.90,  -18,#787650,39.5, -5.3
44.0,  47.60,  -29,#355432,32.4, -3.3
44.0,  48.30,  -29,#224B3D,31.1, -2.0
44.0,  49.00,  -29,#2E7480,29.7, -1.2
44.0,  49.70,  -29,#2E727F,30.1, -2.0
44.0,  50.40,  -87,#2E727F,30.3, -3.7
44.0,  51.10,   62,#D9BD98,40.2, -9.3
44.0,  51.80,   86,#E0C49F,43.6,-11.3
44.0,  52.45,  329,#DBBD97,42.5,-13.0
44.0,  53.15,   -1,#E1D9C4,44.5,-12.3
44.0,  53.85,  245,#C7AE90,43.1,-14.2
44.0,  54.55,  182,#DFC4A7,43.3,-15.0
44.0,  55.25,  175,#CBB092,43.5,-16.0
44.0,  55.95,  154,#CEB596,43.4,-16.5
44.0,  56.65,  142,#DAC1A3,43.1,-16.5
44.0,  57.35,  122,#D5C4A8,43.2,-16.8
44.0,  58.05,  152,#EED6BA,42.8,-15.9
44.0,  58.75,   44,#E3CBAF,43.6,-15.8
44.0,  59.40,   35,#DAC9B7,42.6,-16.2
44.0,  60.10,   47,#E9D8BC,42.8,-17.6
44.0,  60.80,   58,#CCBDAA,43.5,-20.6
44.0,  61.50,   58,#CEB597,44.2,-21.1
44.0,  62.20,   70,#D6BD9E,44.5,-19.6
44.0,  62.90,   81,#CAB192,44.2,-21.0
44.0,  63.60,   95,#DAC2A8,44.2,-21.8
44.0,  64.30,  122,#C8AC85,44.3,-19.0
44.0,  65.00,  126,#C2A885,44.5,-18.7
44.0,  65.70,  145,#B99F7C,44.6,-17.8
44.0,  66.35,  142,#C0A587,45.0,-15.9
44.0,  67.05,  158,#92845F,43.7,-15.1
44.0,  67.75,  634,#A88E6B,40.0,-17.4
44.0,  68.45,  469,#B29B7C,40.3,-16.9
44.0,  69.15,  331,#BA9E79,41.5,-15.5
44.0,  69.85,  310,#D1C0A4,42.9,-15.5
44.0,  70.55,  334,#B8A386,43.0,-15.2
44.0,  71.25,  373,#B19474,42.6,-14.7
44.0,  71.95,  394,#A38B69,42.2,-14.5
44.0,  72.65,  402,#A78C6E,42.0,-14.4
44.0,  73.30,  404,#A98C6C,42.0,-14.9
44.0,  74.00,  511,#AE9473,41.4,-19.9
