lat,long,altitude,pix,high,low
 5.0, 103.55,  -36,#2E7480,33.3,21.7
 5.0, 104.05,  -65,#2E727F,29.7,24.8
 5.0, 104.55,  -61,#2E727F,29.8,24.7
 5.0, 105.05,  -75,#2E727F,30.0,24.6
 5.0, 105.55,  -82,#2E727F,29.9,24.6
 5.0, 106.05,  -92,#2E727F,29.9,24.8
 5.0, 106.55,  -70,#2E727F,30.0,24.9
 5.0, 107.05,  -83,#2E727F,30.1,24.9
 5.0, 107.55,  -98,#2D717E,30.1,24.5
 5.0, 108.05,  -84,#2E727F,30.1,24.3
 5.0, 108.55, -123,#2E727F,30.1,23.8
 5.0, 109.05, -113,#2D717E,30.0,23.8
 5.0, 109.55, -117,#2D717E,30.1,24.2
 5.0, 110.05, -132,#2E727F,30.0,24.8
 5.0, 110.55, -127,#2D717E,29.9,25.0
 5.0, 111.05, -101,#2E727F,29.9,25.0
 5.0, 111.55, -108,#2E727F,29.9,24.9
 5.0, 112.05, -104,#2E727F,29.9,24.8
 5.0, 112.55, -117,#317381,30.0,24.8
 5.0, 113.05, -100,#2E727F,30.1,25.0
 5.0, 113.55, -223,#2F6476,30.3,25.0
 5.0, 114.05,  -67,#2E7480,30.2,25.0
 5.0, 114.55,  -32,#2F7581,32.8,23.4
 5.0, 115.05,    3,#4F5936,32.3,22.6
 5.0, 115.55,   16,#415426,32.0,20.5
 5.0, 116.05,  816,#1B2E01,28.7,17.0
 5.0, 116.55,  603,#313F0C,38.4,18.3
 5.0, 117.10,  429,#293F18,32.0,19.8
 5.0, 117.60,  563,#243E0F,33.9,19.4
 5.0, 118.10,  151,#1F3811,31.3,22.0
 5.0, 118.60,   22,#476132,31.7,22.8
 5.0, 119.10,  -98,#2D6C7B,33.3,22.8
 5.0, 119.60, -347,#266A77,29.4,25.0
 5.0, 120.10, -136,#306668,29.4,25.2
 5.0, 120.60,-3260,#0B3B49,29.6,25.4
 5.0, 121.10,-4275,#013644,29.6,25.3
 5.0, 121.60,-4598,#003546,29.6,25.1
 5.0, 122.10,-4881,#023246,29.6,25.2
 5.0, 122.60,-4460,#00232F,29.5,25.2
 5.0, 123.10,-4906,#002F43,29.6,25.1
 5.0, 123.60,-4947,#003044,29.7,25.2
 5.0, 124.10,-5020,#002C40,29.7,25.1
 5.0, 124.60,-4887,#002939,29.5,25.4
 5.0, 125.10,-5549,#00293F,29.5,24.6
 5.0, 125.60,-1178,#14525F,29.4,25.3
 5.0, 126.10,-3133,#154454,29.7,25.4
 5.0, 126.60,-3196,#124654,29.7,25.2
 5.0, 127.10,-1689,#174552,29.8,25.2
 5.0, 127.60,-4879,#00364A,29.9,25.3
 5.0, 128.10,-8273,#01172F,29.8,25.2
 5.0, 128.60,-5227,#003046,29.6,25.0
 5.0, 129.10,-5114,#012E43,29.7,25.1
 5.0, 129.60,-4989,#003043,29.6,25.2
 5.0, 130.10,-4745,#033848,29.6,25.1
 5.0, 130.60,-5116,#012C3C,29.6,25.1
 5.0, 131.10,-4786,#002C40,29.8,24.9
 5.0, 131.60,-4142,#022C38,29.9,25.2
 5.0, 132.10,-2526,#15414C,30.0,25.2
 5.0, 132.60,-3072,#154A5A,29.8,25.0
 5.0, 133.10,-3793,#113B47,29.8,25.2
 5.0, 133.60,-3055,#1E5067,29.7,25.4
 5.0, 134.10,-4206,#023342,29.6,25.2
 5.0, 134.60,-4479,#002C3A,29.7,25.2
 5.0, 135.15,-4591,#0A2F3F,29.5,25.3
 5.0, 135.65,-4575,#003243,29.6,25.3
 5.0, 136.15,-3774,#1A4B5A,29.6,25.3
 5.0, 136.65,-4757,#083242,29.6,25.0
 5.0, 137.15,-3508,#113A4C,29.6,25.2
 5.0, 137.65,-4302,#0C3D4E,29.6,25.3
 5.0, 138.15,-4286,#003446,29.6,25.1
 5.0, 138.65,-4205,#022632,29.5,24.7
 5.0, 139.15,-4275,#0B3B4F,29.5,24.5
 5.0, 139.65,-4161,#093C4F,29.5,25.0
 5.0, 140.15,-4202,#0A3D50,29.6,25.1
 5.0, 140.65,-4010,#0C3F52,29.6,25.3
 5.0, 141.15,-3582,#0F4255,29.5,25.3
 5.0, 141.65,-3115,#144D5E,29.6,25.3
 5.0, 142.15,-2545,#1C5566,29.7,25.2
 5.0, 142.65,-2626,#134858,29.7,25.3
 5.0, 143.15,-3138,#124757,29.8,25.3
 5.0, 143.65,-3581,#0F3E48,29.8,25.3
 5.0, 144.15,-3744,#0E4154,29.8,25.3
 5.0, 144.65,-3929,#0B3E51,29.8,25.3
 5.0, 145.15,-4109,#09394D,29.9,25.1
 5.0, 145.65,-4119,#063E4D,29.7,25.3
 5.0, 146.15,-4418,#023749,29.6,25.2
 5.0, 146.65,-4186,#093C4F,29.4,25.2
 5.0, 147.15,-4224,#002B3B,29.5,25.3
 5.0, 147.65,-4729,#03232E,29.7,25.4
 5.0, 148.15,-3230,#174B60,29.6,25.2
 5.0, 148.65,-4317,#0C3A52,29.7,25.3
 5.0, 149.15,-4254,#083B4E,29.7,25.3
 5.0, 149.65,-5083,#002D40,29.7,25.3
 5.0, 150.15,-4931,#002F41,29.7,25.1
 5.0, 150.65,-4627,#023749,29.6,25.1
 5.0, 151.15,-4641,#01354A,29.7,25.3
 5.0, 151.65,-4544,#003748,29.8,25.1
 5.0, 152.15,-4611,#00364A,29.8,25.2
 5.0, 152.65,-4512,#003849,29.7,25.3
 5.0, 153.20,-3859,#0A3D50,29.6,25.2
 5.0, 153.70,-2862,#134453,29.7,25.2
 5.0, 154.20,-3719,#0E4154,29.6,25.4
 5.0, 154.70,-3945,#0E4152,29.6,25.3
 5.0, 155.20,-3434,#114658,29.6,25.3
 5.0, 155.70,-3545,#0E4152,29.7,25.1
 5.0, 156.20,-3560,#0F4456,29.8,25.3
 5.0, 156.70,-3800,#0E4154,29.4,25.2
 5.0, 157.20,-3638,#124759,29.3,25.2
 5.0, 157.70,-3329,#14495B,29.2,25.2
 5.0, 158.20,-3066,#194756,29.2,25.2
 5.0, 158.70,-3482,#14475A,29.4,25.2
 5.0, 159.20,-3822,#0D4053,29.2,24.6
 5.0, 159.70,-3987,#0A3D50,29.3,25.0
 5.0, 160.20,-3966,#0C3F52,29.3,25.2
 5.0, 160.70,-4025,#0B4052,29.4,25.2
 5.0, 161.20,-3894,#0B3E51,29.4,24.9
 5.0, 161.70,-4055,#0A3D50,29.5,25.1
 5.0, 162.20,-4299,#053A4C,29.3,25.0
 5.0, 162.70,-4013,#0B3C4D,29.1,24.7
 5.0, 163.20,-4221,#00303F,29.0,24.1
 5.0, 163.70,-4685,#013648,29.0,24.4
 5.0, 164.20,-4680,#003547,29.1,24.9
 5.0, 164.70,-4743,#003547,29.1,25.1
 5.0, 165.20,-4812,#003245,29.0,25.0
 5.0, 165.70,-4655,#02364B,29.0,25.0
 5.0, 166.20,-4675,#003547,28.9,24.6
 5.0, 166.70,-4828,#013447,29.0,24.1
 5.0, 167.20,-4879,#003547,29.0,24.9
 5.0, 167.70,-4718,#013044,28.9,24.9
 5.0, 168.20,-4576,#003947,28.8,25.0
 5.0, 168.70,-4649,#01354A,28.9,25.0
 5.0, 169.20,-4664,#023749,28.8,25.1
 5.0, 169.70,-3626,#0B313C,28.9,24.9
 5.0, 170.20,-4321,#00374B,28.9,24.6
 5.0, 170.70,-4357,#032B37,28.9,25.0
 5.0, 171.25,-4506,#01394A,28.8,24.6
 5.0, 171.75,-4514,#04374A,28.8,24.6
 5.0, 172.25,-4217,#0A3E53,28.8,24.8
 5.0, 172.75,-4645,#003245,28.9,24.7
 5.0, 173.25,-4862,#003245,28.9,24.7
 5.0, 173.75,-5108,#002F45,28.8,24.6
 5.0, 174.25,-5066,#002F43,28.8,24.8
 5.0, 174.75,-5122,#003044,28.8,24.7
 5.0, 175.25,-5142,#003044,28.8,24.8
 5.0, 175.75,-6121,#002031,28.8,24.9
 5.0, 176.25,-4895,#002534,28.8,24.9
 5.0, 176.75,-6171,#02283F,28.8,24.9
 5.0, 177.25,-5976,#012A40,28.9,24.9
 5.0, 177.75,-6030,#002C41,28.8,24.8
 5.0, 178.25,-6357,#00253A,28.7,24.9
 5.0, 178.75,-6304,#011E2E,28.7,25.0
 5.0, 179.25,-5714,#033045,28.6,24.9
 5.0, 179.75,-5796,#012C3F,28.6,24.9
 5.5,-179.75,-6110,#002A40,28.6,24.8
 5.5,-179.25,-3601,#0A3E53,28.7,24.0
 5.5,-178.75,-5601,#002E42,28.7,24.7
 5.5,-178.25,-5231,#002E42,28.5,24.6
 5.5,-177.75,-4761,#002F43,28.5,24.3
 5.5,-177.25,-4617,#022D3E,28.6,24.2
 5.5,-176.75,-5218,#002F41,28.6,24.3
 5.5,-176.25,-5513,#002D42,28.7,24.7
 5.5,-175.75,-5467,#002E45,28.7,24.6
 5.5,-175.25,-5404,#012E43,28.7,24.6
 5.5,-174.75,-5696,#002B40,28.5,24.6
 5.5,-174.25,-5494,#002C41,28.5,24.7
 5.5,-173.70,-5214,#001827,28.5,24.4
 5.5,-173.20,-5510,#012E43,28.5,23.6
 5.5,-172.70,-5816,#002B40,28.4,22.7
 5.5,-172.20,-5576,#002F43,28.3,22.5
 5.5,-171.70,-5741,#00263C,28.2,23.0
 5.5,-171.20,-5641,#013044,28.2,24.0
 5.5,-170.70,-5823,#002C41,28.2,24.2
 5.5,-170.20,-5892,#002A3B,28.2,24.4
 5.5,-169.70,-5570,#002C41,28.3,24.2
 5.5,-169.20,-5795,#01273C,28.3,24.0
 5.5,-168.70,-5507,#002F43,28.3,23.6
 5.5,-168.20,-5511,#00293D,28.3,22.9
 5.5,-167.70,-5365,#00293E,28.3,23.4
 5.5,-167.20,-5507,#00283C,28.0,24.0
 5.5,-166.70,-5257,#002F43,28.2,23.9
 5.5,-166.20,-4940,#003245,28.3,24.1
 5.5,-165.70,-4695,#003547,28.5,24.2
 5.5,-165.20,-4652,#013447,28.5,24.3
 5.5,-164.70,-4316,#002E43,28.4,24.4
 5.5,-164.20,-4420,#00384C,28.3,24.4
 5.5,-163.70,-4282,#0C3C50,28.2,24.5
 5.5,-163.20,-4214,#00394D,28.4,24.3
 5.5,-162.70,-4447,#013A4E,28.5,24.3
 5.5,-162.20,-3567,#0B3E51,28.4,24.2
 5.5,-161.65,-2434,#194957,28.2,23.6
 5.5,-161.15,-1412,#1A4C55,28.0,24.1
 5.5,-160.65,-3507,#0D3B4B,27.9,24.3
 5.5,-160.15,-3796,#0D4053,27.9,24.2
 5.5,-159.65,-4097,#0E4154,27.8,24.3
 5.5,-159.15,-4109,#093E50,27.8,24.1
 5.5,-158.65,-4161,#01313F,27.8,24.1
 5.5,-158.15,-2873,#144251,27.8,24.2
 5.5,-157.65,-4518,#003649,28.0,24.1
 5.5,-157.15,-4307,#0D4254,28.0,24.1
 5.5,-156.65,-4504,#013447,27.9,24.1
 5.5,-156.15,-4628,#013648,27.8,24.0
 5.5,-155.65,-4841,#013648,27.8,24.1
 5.5,-155.15,-4887,#003449,27.8,24.1
 5.5,-154.65,-4613,#023749,27.9,24.1
 5.5,-154.15,-4804,#023246,27.9,24.3
 5.5,-153.65,-4785,#013145,27.8,24.2
 5.5,-153.15,-4872,#003346,27.9,24.2
 5.5,-152.65,-4843,#003245,28.0,23.9
 5.5,-152.15,-4875,#003144,28.0,23.6
 5.5,-151.65,-4987,#003044,28.0,23.9
 5.5,-151.15,-5411,#002F43,27.9,23.8
 5.5,-150.65,-5116,#002F43,27.7,23.8
 5.5,-150.15,-5160,#013044,27.7,23.9
 5.5,-149.60,-5167,#003044,27.6,24.0
 5.5,-149.10,-4676,#02344B,27.6,23.5
 5.5,-148.60,-4795,#003245,27.6,23.4
 5.5,-148.10,-4567,#002D3E,27.6,23.6
 5.5,-147.60,-4915,#013449,27.5,23.4
 5.5,-147.10,-5103,#002E42,27.5,23.6
 5.5,-146.60,-5235,#002F43,27.6,23.7
 5.5,-146.10,-5104,#013145,27.7,23.7
 5.5,-145.60,-5160,#013145,27.6,23.7
 5.5,-145.10,-5126,#002F43,27.6,23.6
 5.5,-144.60,-5061,#003044,27.6,23.6
 5.5,-144.10,-5035,#003044,27.5,23.8
 5.5,-143.60,-4993,#003347,27.6,23.8
 5.5,-143.10,-5002,#013145,27.6,23.6
 5.5,-142.60,-4983,#013145,27.6,23.0
 5.5,-142.10,-4683,#003547,27.6,23.1
 5.5,-141.60,-4490,#003346,27.6,23.3
 5.5,-141.10,-4712,#003346,27.6,23.7
 5.5,-140.60,-4781,#013648,27.5,23.6
 5.5,-140.10,-4854,#013449,27.4,23.5
 5.5,-139.60,-4953,#003346,27.4,23.4
 5.5,-139.10,-4487,#013A4D,27.4,23.4
 5.5,-138.60,-4690,#003547,27.4,23.4
