lat,long,altitude,pix,high,low
35.0,  27.75,-2113,#0F4148,28.3,  7.8
35.0,  28.35,-3006,#18505F,28.3,  7.8
35.0,  29.00,-2798,#184B5C,28.6,  7.6
35.0,  29.60,-2528,#195263,29.4,  7.5
35.0,  30.20,-2428,#185260,30.1,  7.5
35.0,  30.80,-2323,#194E5E,29.7,  7.1
35.0,  31.40,-2280,#1D5564,29.4,  7.5
35.0,  32.05,-2258,#1B5968,29.9,  7.7
35.0,  32.65,  838,#525832,32.9, -1.8
35.0,  33.25,  466,#A49375,37.6, -0.2
35.0,  33.85,   40,#816041,33.6,  6.1
35.0,  34.45, -943,#236571,29.8,  7.8
35.0,  35.10,-1468,#27636E,30.0,  8.2
35.0,  35.70,-1266,#1E5768,34.3,  6.0
35.0,  36.30,  962,#544E1E,35.2, -3.1
35.0,  36.90,  388,#F5D2A8,41.7, -1.9
35.0,  37.55,  749,#F0C58E,40.4, -4.1
35.0,  38.15,  815,#F6D8A6,40.2, -3.9
35.0,  38.75,  611,#EAC398,42.0, -3.4
35.0,  39.35,  325,#E7BC91,44.2, -3.3
35.0,  39.95,  264,#E6BC92,45.0, -2.5
35.0,  40.60,  208,#E8CBA9,46.0, -2.6
35.0,  41.20,  167,#DEBC97,46.0, -3.0
35.0,  41.80,  294,#E4C6A4,45.5, -3.4
35.0,  42.40,  236,#E1C19B,46.2, -2.9
35.0,  43.00,  104,#D4B48E,47.9, -3.0
35.0,  43.65,  195,#B79977,48.3, -2.6
35.0,  44.25,  175,#CFAE85,48.2, -2.6
35.0,  44.85,  501,#DAB98E,45.3, -4.9
35.0,  45.45,  654,#CBA87E,45.5, -9.5
35.0,  46.05, 1172,#B79B6B,41.7,-17.9
35.0,  46.70, 1738,#B2976C,37.6,-17.6
35.0,  47.30, 2021,#BE905C,36.5,-20.1
35.0,  47.90, 2148,#A38151,35.9,-19.0
35.0,  48.50, 1709,#D6B687,38.9,-18.1
35.0,  49.10, 1634,#D2B184,37.9, -9.8
35.0,  49.75, 1936,#C4A06C,35.1,-13.4
35.0,  50.35,  986,#BEA77D,41.6, -4.4
35.0,  50.95,  798,#FFFFEE,43.0, -3.2
35.0,  51.55,  808,#E2C8A5,44.3, -4.7
35.0,  52.15,  767,#E5C7A1,45.5, -6.5
35.0,  52.80,  757,#FBD1AB,45.2, -3.0
35.0,  53.40, 1009,#DAB490,43.9, -6.8
35.0,  54.00,  987,#EED0AC,43.9, -8.2
35.0,  54.60,  722,#ECCAA4,45.9, -8.2
35.0,  55.20,  716,#ECCEAC,45.7, -7.6
35.0,  55.85,  710,#EFDBC2,45.9, -8.1
35.0,  56.45,  704,#ECD1B4,45.1, -8.7
35.0,  57.05,  813,#CFBA9D,44.6, -7.1
35.0,  57.65,  895,#D2B79A,43.8, -6.7
35.0,  58.25,  808,#DABD9B,44.5, -4.5
35.0,  58.90,  981,#DAB892,42.7, -6.3
35.0,  59.50, 1123,#DBBA91,40.4, -7.1
35.0,  60.10, 1820,#BEA27D,35.5,-14.4
35.0,  60.70,  949,#DBBA91,39.5, -5.4
35.0,  61.30,  805,#CEA881,41.0, -4.9
35.0,  61.95,  867,#D7BA92,40.3, -6.5
35.0,  62.55,  776,#D7B790,40.4, -9.4
35.0,  63.15,  876,#D2B58D,38.4,-14.1
35.0,  63.75, 1590,#E2C4A2,33.6,-18.3
35.0,  64.35, 2151,#D8BC94,31.4,-26.4
35.0,  65.00, 3029,#DBBE96,27.0,-29.3
35.0,  65.60, 2696,#B8976C,29.5,-29.0
35.0,  66.20, 3379,#AD9A70,25.7,-32.7
35.0,  66.80, 3616,#D2B384,24.0,-30.8
35.0,  67.40, 3346,#C4A56F,26.5,-27.4
35.0,  68.05, 2771,#D5BE9E,27.7,-27.2
35.0,  68.65, 2532,#A08558,30.7,-20.3
35.0,  69.25, 1491,#8B8A49,37.7,-17.6
35.0,  69.85, 3392,#9F885F,24.2,-21.3
35.0,  70.45, 1408,#AB9C75,36.7, -9.5
35.0,  71.10, 1740,#796E41,32.0,-13.4
35.0,  71.70, 1454,#827146,33.9, -9.7
35.0,  72.30, 1755,#37320A,31.4,-14.5
35.0,  72.90,  847,#63653E,35.5, -6.7
35.0,  73.55, 3847,#FFFFF6,19.6,-23.6
35.0,  74.15, 3217,#5C4011,22.5,-19.9
35.0,  74.75, 4914,#B9A985,11.5,-30.5
35.0,  75.35, 4010,#896531,19.6,-27.6
35.0,  75.95, 3120,#D1BA86,24.1,-26.6
35.0,  76.60, 4683,#48310F,14.7,-36.0
35.0,  77.20, 5259,#CFC3AD, 9.0,-40.1
35.0,  77.80, 5532,#BAA878,10.8,-40.2
35.0,  78.40, 5474,#E1C8AA,12.6,-40.6
35.0,  79.00, 5506,#AA8D6B,13.0,-43.8
35.0,  79.65, 5026,#DEC293,17.1,-32.8
35.0,  80.25, 4910,#D6C29D,17.9,-31.4
35.0,  80.85, 5112,#AE985F,15.7,-33.2
35.0,  81.45, 5044,#A4964B,15.6,-33.5
35.0,  82.05, 5177,#D4BD91,15.9,-34.5
35.0,  82.70, 5053,#C7A87A,16.8,-39.8
35.0,  83.30, 5033,#C29872,17.4,-37.4
35.0,  83.90, 5161,#C7A774,16.2,-38.3
35.0,  84.50, 4935,#BCAE7F,18.1,-37.8
35.0,  85.10, 4980,#CDB589,17.8,-38.2
35.0,  85.75, 5113,#CFB787,18.4,-40.1
35.0,  86.35, 4886,#C9AD7B,20.6,-35.6
35.0,  86.95, 4843,#DBC492,21.6,-34.4
35.0,  87.55, 4843,#C5A268,20.5,-35.0
35.0,  88.15, 4873,#CDB283,19.2,-34.5
35.0,  88.80, 5316,#AE7D3A,16.4,-37.6
35.0,  89.40, 4949,#C49D66,18.1,-35.6
35.0,  90.00, 4924,#D6AD79,17.6,-33.5
