lat,long,altitude,pix,high,low
19.5, -83.75,-3851,#093A4B,29.7,21.2
19.5, -83.25,-3369,#154A5A,29.6,21.1
19.5, -82.70,-2984,#164B5D,29.7,21.1
19.5, -82.20,-4351,#0B4052,29.8,21.0
19.5, -81.65,-3082,#154E5F,29.9,20.8
19.5, -81.10,-2470,#154D5E,29.9,20.8
19.5, -80.60,-2042,#26616F,29.9,21.4
19.5, -80.05,-2291,#235764,29.9,21.7
19.5, -79.55,-4031,#052B38,29.7,21.9
19.5, -79.00,-4047,#09313B,29.8,21.9
19.5, -78.45,-5164,#001016,29.8,21.7
19.5, -77.95,-5482,#012E41,30.1,21.8
19.5, -77.40,-5496,#02293A,30.1,21.8
19.5, -76.90,-5754,#032437,30.0,22.6
19.5, -76.35,-5703,#003044,30.1,22.5
19.5, -75.80,-5237,#002A3C,29.9,22.8
19.5, -75.30,-4722,#00364B,29.7,23.2
19.5, -74.75,-3400,#0E475A,29.8,23.4
19.5, -74.25,-1930,#1B5A6B,29.9,23.6
19.5, -73.70,-1378,#246271,30.7,23.8
19.5, -73.15,-1870,#14434D,34.3,22.8
19.5, -72.65,   66,#A38F76,34.7,18.8
19.5, -72.10,  487,#545128,32.6,15.0
19.5, -71.60,  214,#616E39,35.4,14.8
19.5, -71.05,  178,#646138,36.7,14.6
19.5, -70.50,  811,#324D18,31.5,13.3
19.5, -70.00,   19,#4E5B2D,32.8,18.3
19.5, -69.45,-1892,#175260,35.2,18.2
19.5, -68.90,-3543,#093C4F,29.2,22.5
19.5, -68.40,-6862,#032842,29.0,22.5
19.5, -67.85,-7423,#02213D,29.0,22.6
19.5, -67.35,-7545,#001C34,29.1,22.3
19.5, -66.80,-7832,#001C34,29.1,22.3
19.5, -66.25,-7560,#05203D,29.2,22.5
19.5, -65.75,-6904,#002337,29.1,22.5
19.5, -65.20,-6802,#002034,29.0,22.4
19.5, -64.70,-6622,#032843,28.9,22.4
19.5, -64.15,-6075,#01273A,28.9,22.3
19.5, -63.60,-6223,#012138,28.7,22.4
19.5, -63.10,-6493,#01253B,28.7,22.2
19.5, -62.55,-7326,#001D32,28.7,21.7
19.5, -62.05,-6179,#012130,28.8,21.8
19.5, -61.50,-5440,#03293E,28.8,21.6
19.5, -60.95,-5097,#022D3E,28.9,21.0
19.5, -60.45,-5164,#002E42,29.0,21.4
19.5, -59.90,-4925,#002C3E,29.0,21.6
19.5, -59.40,-4989,#003245,28.9,21.7
19.5, -58.85,-5064,#003044,28.7,22.1
19.5, -58.30,-5544,#002D42,28.6,21.9
19.5, -57.80,-5682,#002E42,28.5,21.9
19.5, -57.25,-5668,#012B41,28.4,21.8
19.5, -56.75,-5735,#002838,28.4,22.1
19.5, -56.20,-5779,#002538,28.5,22.0
19.5, -55.65,-5070,#04273A,28.4,21.9
19.5, -55.15,-4872,#033445,28.4,21.5
19.5, -54.60,-4970,#003044,28.4,21.5
19.5, -54.10,-5109,#043448,28.3,21.2
19.5, -53.55,-4983,#002E40,28.3,21.2
19.5, -53.00,-5449,#002538,28.2,21.2
19.5, -52.50,-5653,#01273C,28.0,21.2
19.5, -51.95,-4967,#00374B,28.1,20.8
19.5, -51.45,-5281,#002F43,28.2,21.0
19.5, -50.90,-4699,#01394A,28.0,21.1
19.5, -50.35,-4187,#0D4053,28.1,21.0
19.5, -49.85,-4748,#012F46,28.1,21.1
19.5, -49.30,-4168,#013B51,28.2,21.0
19.5, -48.80,-4561,#002A33,28.1,20.9
19.5, -48.25,-3891,#073243,28.1,20.8
19.5, -47.70,-4068,#0C4153,28.2,21.1
19.5, -47.20,-3472,#124558,28.2,20.9
19.5, -46.65,-3011,#0F3D4C,28.2,21.0
19.5, -46.15,-2801,#124852,28.1,20.5
19.5, -45.60,-2595,#0D353F,27.7,20.0
19.5, -45.05,-3612,#0E3E4A,27.4,19.9
19.5, -44.55,-3453,#114251,27.5,20.0
19.5, -44.00,-3943,#134455,27.5,20.2
19.5, -43.50,-4143,#0D4053,27.5,20.2
19.5, -42.95,-4114,#0B3A4A,27.5,19.9
19.5, -42.40,-4486,#02394D,27.5,19.9
19.5, -41.90,-4475,#013241,27.5,19.9
19.5, -41.35,-4914,#013449,27.3,20.0
19.5, -40.80,-4619,#003647,27.2,19.8
19.5, -40.30,-5149,#002E42,27.1,19.9
19.5, -39.75,-5445,#013042,27.1,20.0
19.5, -39.25,-4741,#003345,27.1,20.1
19.5, -38.70,-5147,#012837,27.1,20.2
19.5, -38.15,-5910,#023047,27.2,20.1
19.5, -37.65,-6030,#012837,27.0,20.6
19.5, -37.10,-4490,#003846,27.1,20.2
19.5, -36.60,-5291,#002F43,27.1,20.3
19.5, -36.05,-5583,#012E45,26.9,20.7
19.5, -35.50,-5739,#012A3E,26.9,20.6
19.5, -35.00,-5515,#002E42,26.9,20.4
19.5, -34.45,-5125,#013044,27.1,20.3
19.5, -33.95,-4892,#003044,27.0,19.9
19.5, -33.40,-5188,#002C40,27.0,19.8
19.5, -32.85,-4803,#002A3A,26.9,19.8
19.5, -32.35,-4639,#002A42,26.9,20.3
19.5, -31.80,-5147,#003142,26.9,20.6
19.5, -31.30,-4785,#013145,27.0,20.3
19.5, -30.75,-4898,#003547,27.1,20.1
19.5, -30.20,-4807,#003346,27.2,20.1
19.5, -29.70,-4821,#002E42,27.3,20.0
19.5, -29.15,-4647,#01354A,27.2,19.9
19.5, -28.65,-4766,#043448,26.7,19.8
19.5, -28.10,-4651,#013447,27.1,19.8
19.5, -27.55,-4738,#003449,26.7,19.6
19.5, -27.05,-4664,#013648,26.6,19.5
19.5, -26.50,-4557,#01384C,26.6,19.4
19.5, -26.00,-4423,#013A4D,26.9,19.3
19.5, -25.45,-4324,#0A3A4E,27.1,19.2
19.5, -24.90,-4239,#0C3C50,27.1,19.1
19.5, -24.40,-4212,#0C3F52,27.1,19.0
19.5, -23.85,-4140,#0B3E51,27.2,18.9
19.5, -23.35,-4061,#0C3F52,27.3,18.8
19.5, -22.80,-3909,#0D4053,27.3,18.6
19.5, -22.25,-3714,#0E4355,27.4,18.3
19.5, -21.75,-3599,#0F4456,27.5,18.1
19.5, -21.20,-3504,#134659,27.5,18.0
19.5, -20.70,-3490,#0E4355,27.6,17.9
19.5, -20.15,-3390,#134659,27.8,17.8
19.5, -19.60,-3300,#13485A,28.7,17.5
19.5, -19.10,-3035,#174F5E,29.4,17.3
19.5, -18.55,-2674,#18505F,29.6,17.0
19.5, -18.05,-2386,#1D5564,29.8,16.5
19.5, -17.50,-1732,#1F5A6A,30.4,16.4
19.5, -16.95,  -96,#2C6F7F,31.9,16.4
19.5, -16.45,   -1,#31502E,43.1,11.5
19.5, -15.90,   45,#FCDBA5,45.4,10.0
19.5, -15.40,   43,#F5C99C,47.6,11.8
19.5, -14.85,   57,#DFB17D,48.3,12.9
