lat,long,altitude,pix,rain,snow
12.0, 120.50,  -55,#2F7380, 37108.2, 0
12.0, 121.00, -335,#2A6573, 37987.2, 0
12.0, 121.55,  -24,#337A90, 41037.1, 0
12.0, 122.05, -330,#276272, 37800.1, 0
12.0, 122.55,-1284,#226472, 37800.1, 0
12.0, 123.05,  -31,#297686, 33133.3, 0
12.0, 123.55,   -2,#36727D, 30809.6, 0
12.0, 124.10, -210,#2D687A, 30809.6, 0
12.0, 124.60,   -4,#2C6873, 34047.4, 0
12.0, 125.10,  653,#264010, 35085.0, 0
12.0, 125.60, -226,#2C575D, 41533.1, 0
12.0, 126.15,-7362,#031833, 40525.2, 0
12.0, 126.65,-6188,#00283E, 41818.3, 0
12.0, 127.15,-5786,#002A3F, 42655.4, 0
12.0, 127.65,-5567,#002C41, 42966.1, 0
12.0, 128.15,-5523,#002C41, 43461.8, 0
12.0, 128.70,-5401,#002C41, 42400.4, 0
12.0, 129.20,-5781,#002B40, 42143.3, 0
12.0, 129.70,-5748,#002C41, 41929.2, 0
12.0, 130.20,-5822,#02283F, 41835.2, 0
12.0, 130.70,-5654,#012C3F, 42139.7, 0
12.0, 131.25,-5961,#012A3E, 42218.8, 0
12.0, 131.75,-5992,#002336, 42910.5, 0
12.0, 132.25,-6051,#01273E, 42359.6, 0
12.0, 132.75,-5805,#02283D, 42010.4, 0
12.0, 133.30,-5744,#002A40, 41364.9, 0
12.0, 133.80,-5617,#022F44, 40924.3, 0
12.0, 134.30,-5537,#002F3E, 40787.6, 0
12.0, 134.80,-4068,#00232C, 40475.2, 0
12.0, 135.30,-5662,#0D2C3E, 39817.0, 0
12.0, 135.85,-5232,#002F3F, 39870.5, 0
12.0, 136.35,-4941,#01273A, 39032.5, 0
12.0, 136.85,-5111,#022334, 38568.0, 0
12.0, 137.35,-4906,#002430, 37874.8, 0
12.0, 137.85,-4709,#003149, 37506.2, 0
12.0, 138.40,-4412,#092940, 36253.7, 0
12.0, 138.90,-4385,#002E3D, 35564.5, 0
12.0, 139.40,-3636,#001721, 35110.2, 0
12.0, 139.90,-3315,#184C64, 34954.4, 0
12.0, 140.45,-4389,#003248, 34829.4, 0
12.0, 140.95,-4585,#0C354B, 34197.1, 0
12.0, 141.45,-1834,#1E5B6D, 33446.5, 0
12.0, 141.95,-4401,#092B37, 32677.5, 0
12.0, 142.45,-2831,#163F51, 32270.6, 0
12.0, 143.00,-4165,#043242, 32046.3, 0
12.0, 143.50,-3424,#043D48, 31429.8, 0
12.0, 144.00,-7606,#03192E, 31941.1, 0
12.0, 144.50,-9971,#030929, 31995.4, 0
12.0, 145.00,-8201,#001B30, 31647.3, 0
12.0, 145.55,-6573,#00263F, 30779.9, 0
12.0, 146.05,-6218,#002A3F, 30284.7, 0
12.0, 146.55,-3721,#114F68, 29931.1, 0
12.0, 147.05,-5534,#002D42, 29459.8, 0
12.0, 147.55,-5705,#012C3F, 28745.1, 0
12.0, 148.10,-5664,#002B40, 28228.8, 0
12.0, 148.60,-5717,#002B40, 28374.9, 0
12.0, 149.10,-5876,#002C41, 28371.9, 0
12.0, 149.60,-5882,#002C41, 28009.5, 0
12.0, 150.15,-5929,#002C41, 26661.7, 0
12.0, 150.65,-5949,#002A3E, 25716.8, 0
12.0, 151.15,-6055,#002A43, 25861.4, 0
12.0, 151.65,-5849,#012A40, 25674.9, 0
12.0, 152.15,-6022,#002B40, 25362.2, 0
12.0, 152.70,-6056,#002B42, 25210.6, 0
12.0, 153.20,-5969,#002B40, 25012.0, 0
12.0, 153.70,-5935,#00293F, 24627.6, 0
12.0, 154.20,-5938,#001A2B, 24444.6, 0
12.0, 154.70,-5905,#002C41, 24144.9, 0
12.0, 155.25,-5892,#00283E, 24208.4, 0
12.0, 155.75,-6036,#00293F, 24081.3, 0
12.0, 156.25,-5885,#022B41, 23656.9, 0
12.0, 156.75,-5955,#002D42, 23295.4, 0
12.0, 157.30,-5928,#002C41, 23020.4, 0
12.0, 157.80,-6738,#00263B, 22617.5, 0
12.0, 158.30,-5326,#002C41, 22187.3, 0
12.0, 158.80,-5395,#002D40, 21919.4, 0
12.0, 159.30,-5622,#002A42, 21637.6, 0
12.0, 159.85,-2809,#022C3C, 21341.8, 0
12.0, 160.35,-6022,#002C41, 21044.0, 0
12.0, 160.85,-5749,#002F43, 20661.1, 0
12.0, 161.35, -912,#296371, 20294.7, 0
12.0, 161.85,-5302,#022D3E, 20006.1, 0
12.0, 162.40,-5120,#012A3C, 19322.9, 0
12.0, 162.90,-5570,#002E42, 18955.1, 0
12.0, 163.40,-5451,#003044, 18668.3, 0
12.0, 163.90,-5049,#002F43, 18457.3, 0
12.0, 164.45,-4555,#003548, 18193.8, 0
12.0, 164.95,-1403,#103842, 18060.5, 0
12.0, 165.45,-4270,#043C4D, 17836.1, 0
12.0, 165.95,-4139,#0A3E53, 17796.9, 0
12.0, 166.45,-3550,#124558, 17614.6, 0
12.0, 167.00,-2500,#1A4E5C, 17316.3, 0
12.0, 167.50,-4033,#003244, 17047.1, 0
12.0, 168.00,-4830,#002F43, 16829.6, 0
12.0, 168.50,-4502,#023749, 16470.5, 0
12.0, 169.00,-3190,#072B37, 15991.8, 0
12.0, 169.55,-5119,#002F43, 15741.6, 0
12.0, 170.05,-2758,#0B445F, 15870.1, 0
12.0, 170.55,-5154,#002D41, 15803.5, 0
12.0, 171.05,-5305,#003346, 15784.7, 0
12.0, 171.55,-5162,#002F43, 15806.2, 0
12.0, 172.10,-5191,#002F43, 15624.5, 0
12.0, 172.60,-5484,#002E42, 15305.0, 0
12.0, 173.10,-5620,#002D42, 15257.6, 0
12.0, 173.60,-5600,#002E42, 14985.1, 0
12.0, 174.15,-5704,#002D42, 14684.0, 0
12.0, 174.65,-5652,#012E43, 14886.7, 0
12.0, 175.15,-5657,#002D42, 14769.2, 0
12.0, 175.65,-5702,#002A3F, 14820.4, 0
12.0, 176.15,-5340,#023145, 14911.3, 0
12.0, 176.70,-5570,#00293D, 14851.5, 0
12.0, 177.20,-5665,#002C41, 14478.5, 0
12.0, 177.70,-5858,#002C41, 14317.3, 0
12.0, 178.20,-5410,#012A3E, 14391.3, 0
12.0, 178.70,-5859,#002B40, 14395.7, 0
12.0, 179.25,-5689,#002D44, 14347.9, 0
12.0, 179.75,-6525,#022237, 14321.0, 0
12.5,-179.75,-5802,#002E40, 12337.2, 0
12.5,-179.25,-4293,#07313D, 12583.6, 0
12.5,-178.70,-5688,#002D42, 12539.1, 0
12.5,-178.20,-5067,#002F43, 12577.2, 0
12.5,-177.70,-4495,#003142, 13010.3, 0
12.5,-177.20,-4205,#023A4B, 13142.6, 0
12.5,-176.65,-4505,#06394C, 13229.6, 0
12.5,-176.15,-5164,#023249, 12955.1, 0
12.5,-175.65,-5428,#002F43, 12849.7, 0
12.5,-175.15,-5536,#002E42, 12824.2, 0
12.5,-174.60,-5427,#002F43, 12630.4, 0
12.5,-174.10,-5581,#002235, 12827.4, 0
12.5,-173.60,-5615,#002E42, 12935.6, 0
12.5,-173.10,-5389,#003044, 13120.3, 0
12.5,-172.55,-5287,#013044, 13119.9, 0
12.5,-172.05,-5468,#002D40, 13050.4, 0
12.5,-171.55,-5479,#002E42, 13097.1, 0
12.5,-171.05,-5278,#013044, 13381.9, 0
12.5,-170.55,-5210,#002B3E, 13452.4, 0
12.5,-170.00,-5470,#013044, 13690.8, 0
12.5,-169.50,-6067,#002D44, 13834.0, 0
12.5,-169.00,-5531,#002C43, 14263.4, 0
12.5,-168.50,-5223,#002F3F, 13940.7, 0
12.5,-167.95,-5386,#002B3C, 13537.9, 0
12.5,-167.45,-5250,#00293C, 13629.9, 0
12.5,-166.95,-4511,#001A22, 13696.7, 0
12.5,-166.45,-5184,#062D3C, 14086.1, 0
12.5,-165.90,-5341,#002F43, 14168.2, 0
12.5,-165.40,-5044,#012A3E, 14420.0, 0
12.5,-164.90,-5445,#003046, 14319.2, 0
12.5,-164.40,-5438,#002C41, 14395.0, 0
12.5,-163.85,-5419,#002F43, 14632.4, 0
12.5,-163.35,-5343,#002D41, 14847.9, 0
12.5,-162.85,-5389,#002538, 14723.3, 0
12.5,-162.35,-5586,#002A3F, 14598.2, 0
12.5,-161.80,-5395,#002D41, 14301.3, 0
12.5,-161.30,-5520,#022B3F, 14038.2, 0
12.5,-160.80,-5416,#00263C, 14432.8, 0
12.5,-160.30,-5538,#072B43, 14862.1, 0
12.5,-159.75,-5378,#002E40, 14949.7, 0
12.5,-159.25,-5458,#02303F, 14901.3, 0
12.5,-158.75,-4855,#00334B, 14975.2, 0
12.5,-158.25,-5497,#002C3C, 14747.0, 0
12.5,-157.70,-5488,#002E42, 14999.4, 0
12.5,-157.20,-5570,#002D41, 15179.4, 0
12.5,-156.70,-5458,#002D41, 15225.8, 0
12.5,-156.20,-5522,#002F43, 15520.4, 0
12.5,-155.70,-5275,#002F43, 15660.2, 0
12.5,-155.15,-5026,#013145, 15515.5, 0
12.5,-154.65,-5195,#002F43, 15355.3, 0
12.5,-154.15,-5322,#002F43, 15636.9, 0
12.5,-153.65,-5200,#002C40, 15974.0, 0
12.5,-153.10,-5177,#023145, 15854.9, 0
12.5,-152.60,-5237,#012B41, 16004.3, 0
12.5,-152.10,-4990,#03354E, 15729.5, 0
12.5,-151.60,-5512,#002F43, 16110.2, 0
12.5,-151.05,-5692,#002E42, 16678.2, 0
12.5,-150.55,-5338,#012E43, 16547.2, 0
12.5,-150.05,-5393,#063144, 16402.4, 0
12.5,-149.55,-5328,#002E42, 15622.0, 0
12.5,-149.00,-5381,#002F43, 15457.7, 0
12.5,-148.50,-5362,#002F43, 15697.3, 0
12.5,-148.00,-5313,#002F43, 14999.8, 0
12.5,-147.50,-5495,#002D41, 14986.8, 0
12.5,-146.95,-5291,#002D42, 15141.5, 0
12.5,-146.45,-5317,#013044, 15965.3, 0
12.5,-145.95,-5290,#012C3F, 16892.3, 0
12.5,-145.45,-5188,#042D3F, 16815.7, 0
12.5,-144.90,-5447,#012B41, 16524.5, 0
12.5,-144.40,-4797,#053946, 16621.2, 0
12.5,-143.90,-5409,#002E3E, 17336.4, 0
12.5,-143.40,-4503,#00384B, 17940.3, 0
12.5,-142.85,-4832,#001D2E, 17850.8, 0
12.5,-142.35,-5184,#002F43, 18096.8, 0
12.5,-141.85,-5537,#002E42, 18150.8, 0
12.5,-141.35,-4879,#013447, 17864.6, 0
12.5,-140.85,-4959,#003245, 17848.9, 0
12.5,-140.30,-4888,#003245, 17814.8, 0
12.5,-139.80,-4797,#003547, 18249.2, 0
12.5,-139.30,-5123,#002E42, 18825.1, 0
12.5,-138.80,-4967,#013145, 19002.7, 0
12.5,-138.25,-5044,#003044, 19257.8, 0
12.5,-137.75,-4967,#002F43, 19670.8, 0
12.5,-137.25,-4990,#003346, 20632.8, 0
12.5,-136.75,-5015,#003044, 20253.4, 0
12.5,-136.20,-5026,#002F43, 20573.3, 0
12.5,-135.70,-4950,#022C42, 19992.3, 0
12.5,-135.20,-4809,#003346, 19596.7, 0
12.5,-134.70,-4926,#003346, 20242.2, 0
12.5,-134.15,-4752,#003044, 21313.7, 0
12.5,-133.65,-4873,#002F43, 21007.7, 0
12.5,-133.15,-4687,#003144, 20971.6, 0
12.5,-132.65,-4923,#002F43, 21700.6, 0
12.5,-132.10,-4890,#013145, 21549.5, 0
12.5,-131.60,-4916,#013145, 21770.0, 0
12.5,-131.10,-4957,#003044, 22106.2, 0
12.5,-130.60,-4997,#013145, 21600.1, 0
12.5,-130.05,-4947,#003245, 22222.1, 0
12.5,-129.55,-4866,#003245, 21942.8, 0
12.5,-129.05,-4818,#013145, 22264.4, 0
12.5,-128.55,-4798,#003346, 22950.5, 0
12.5,-128.00,-4827,#003346, 22903.8, 0
12.5,-127.50,-4700,#002D41, 22532.3, 0
12.5,-127.00,-4896,#003348, 22910.1, 0
12.5,-126.50,-4877,#003144, 22919.9, 0
12.5,-125.95,-4849,#003547, 23281.6, 0
12.5,-125.45,-4653,#003547, 24079.0, 0
12.5,-124.95,-4744,#003348, 24865.8, 0
12.5,-124.45,-4566,#013648, 25406.0, 0
12.5,-123.95,-4508,#003346, 26922.8, 0
12.5,-123.40,-4511,#01384C, 27599.2, 0
12.5,-122.90,-4480,#003849, 28388.7, 0
12.5,-122.40,-4423,#003849, 28875.5, 0
12.5,-121.90,-4308,#04384D, 29216.8, 0
12.5,-121.35,-4372,#01384C, 29166.1, 0
12.5,-120.85,-4375,#013A4D, 29695.3, 0
12.5,-120.35,-4302,#043F4F, 29980.6, 0
12.5,-119.85,-4422,#01384C, 29512.8, 0
12.5,-119.30,-4341,#09384C, 29253.8, 0
12.5,-118.80,-4414,#0B3E51, 30173.0, 0
12.5,-118.30,-4048,#073A4D, 30231.3, 0
12.5,-117.80,-4003,#0B3E51, 29242.2, 0
12.5,-117.25,-4152,#0A3A4E, 29722.0, 0
12.5,-116.75,-4167,#0C3B4F, 30410.3, 0
12.5,-116.25,-4140,#09384A, 30785.8, 0
12.5,-115.75,-4122,#0C3F52, 31203.8, 0
12.5,-115.20,-4198,#093A4B, 30816.5, 0
12.5,-114.70,-4046,#0B3E51, 30053.5, 0
12.5,-114.20,-4046,#093C4F, 31005.8, 0
12.5,-113.70,-4322,#06394C, 31100.7, 0
12.5,-113.15,-4172,#083D4D, 31292.0, 0
12.5,-112.65,-4065,#0A3B4C, 31728.4, 0
12.5,-112.15,-3862,#0C4153, 32310.2, 0
12.5,-111.65,-4011,#0C3F52, 32050.1, 0
12.5,-111.10,-3550,#0F4158, 31634.0, 0
12.5,-110.60,-4126,#093C4D, 31160.6, 0
12.5,-110.10,-3792,#083D4F, 30509.8, 0
12.5,-109.60,-3599,#0D3C4C, 29887.1, 0
12.5,-109.10,-3817,#0A3D4E, 29635.5, 0
12.5,-108.55,-3626,#0F3F53, 29805.5, 0
12.5,-108.05,-3844,#073847, 29933.5, 0
12.5,-107.55,-3509,#0F4253, 30612.7, 0
12.5,-107.05,-3634,#0F4255, 30641.4, 0
12.5,-106.50,-3433,#124556, 30346.7, 0
12.5,-106.00,-3525,#00363F, 29351.7, 0
12.5,-105.50,-3325,#154454, 28687.5, 0
12.5,-105.00,-3295,#114656, 28514.3, 0
12.5,-104.45,-3066,#0F4253, 28545.2, 0
12.5,-103.95,-2931,#184B5C, 28325.2, 0
12.5,-103.45,-2950,#124A59, 28446.9, 0
12.5,-102.95,-3012,#10475B, 28525.5, 0
12.5,-102.40,-3155,#113847, 29091.1, 0
12.5,-101.90,-3153,#124A5B, 29271.1, 0
12.5,-101.40,-3302,#124558, 28846.4, 0
12.5,-100.90,-3358,#124556, 28533.4, 0
12.5,-100.35,-3285,#10404E, 28194.1, 0
12.5, -99.85,-3396,#104354, 28162.1, 0
12.5, -99.35,-3560,#104354, 27911.7, 0
12.5, -98.85,-3511,#104354, 27523.8, 0
12.5, -98.30,-3293,#1B4B59, 27624.5, 0
12.5, -97.80,-3676,#0F3D4C, 27803.6, 0
12.5, -97.30,-4200,#003346, 27801.5, 0
12.5, -96.80,-3914,#094054, 27856.8, 0
12.5, -96.25,-4233,#0B3C4D, 27341.3, 0
12.5, -95.75,-4138,#093C4F, 25865.7, 0
12.5, -95.25,-3997,#093A4B, 24655.3, 0
12.5, -94.75,-4100,#0B3E51, 23833.9, 0
12.5, -94.20,-3970,#0B3E51, 22464.9, 0
12.5, -93.70,-3947,#01313F, 22850.2, 0
12.5, -93.20,-3886,#0E3C4C, 22077.5, 0
12.5, -92.70,-3897,#0C3F52, 22723.1, 0
12.5, -92.20,-3749,#0F4255, 22840.5, 0
12.5, -91.65,-3706,#0D4252, 21682.1, 0
12.5, -91.15,-3906,#083B4E, 22733.4, 0
12.5, -90.65,-5176,#002E42, 22806.7, 0
12.5, -90.15,-4524,#063346, 23626.0, 0
12.5, -89.60,-2892,#184C5A, 23548.4, 0
12.5, -89.10,-1358,#1E4F5D, 23232.1, 0
12.5, -88.60, -265,#2E707C, 26179.9, 0
12.5, -88.10, -208,#2C707B, 26937.2, 0
12.5, -87.55,  -38,#2E727F, 30566.4, 0
12.5, -87.05,   23,#7A714A, 30021.8, 0
12.5, -86.55,  147,#3A5424, 16370.1, 0
12.5, -86.05,  366,#344C1A, 13639.1, 0
12.5, -85.50,  680,#405B28, 13001.5, 0
12.5, -85.00,  483,#3C572A, 20807.7, 0
12.5, -84.50,  133,#405922, 24025.0, 0
12.5, -84.00,   70,#465E2C, 30896.6, 0
12.5, -83.45,   -5,#1C4443, 40228.3, 0
12.5, -82.95,  -18,#2E7480, 36293.9, 0
12.5, -82.45, -261,#276770, 32802.3, 0
12.5, -81.95, -682,#306C77, 30959.5, 0
12.5, -81.40, -653,#2B616D, 28877.5, 0
12.5, -80.90,-2158,#164654, 27091.8, 0
12.5, -80.40,-3135,#144959, 25745.6, 0
12.5, -79.90,-3159,#144758, 24444.4, 0
12.5, -79.35,-3379,#0E4152, 22285.1, 0
12.5, -78.85,-3468,#134657, 21264.2, 0
12.5, -78.35,-3783,#0D3A4D, 20491.0, 0
12.5, -77.85,-3898,#0C3F52, 19321.8, 0
12.5, -77.35,-3835,#0D4053, 17919.0, 0
12.5, -76.80,-3752,#0E4355, 17065.2, 0
12.5, -76.30,-3644,#0F4456, 15384.8, 0
12.5, -75.80,-3643,#0F4456, 14825.5, 0
12.5, -75.30,-3767,#0E4154, 13853.5, 0
12.5, -74.75,-3800,#0D4254, 13949.4, 0
12.5, -74.25,-3860,#0F4255, 14940.8, 0
12.5, -73.75,-2632,#1B5467, 12660.8, 0
12.5, -73.25,-2694,#185061, 12794.6, 0
12.5, -72.70, -928,#276A7A, 11816.3, 0
12.5, -72.20, -357,#286A78,  9533.3, 0
12.5, -71.70,  -53,#2D6C7B,  6625.6, 0
12.5, -71.20,  -52,#2C6E7A,  9042.8, 0
12.5, -70.65,  -63,#2E727F,  8446.2, 0
12.5, -70.15,  -66,#2E727F,  9023.3, 0
12.5, -69.65,-1033,#22626E, 10836.7, 0
12.5, -69.15, -992,#276A7B,    -1.0,-1
12.5, -68.60,-2595,#164E5D, 12267.7, 0
12.5, -68.10,-2892,#0E394A, 12061.9, 0
12.5, -67.60,-4450,#003547, 11643.9, 0
12.5, -67.10,-4696,#012E41, 12226.7, 0
12.5, -66.55,-4863,#002F43, 12721.3, 0
12.5, -66.05,-4437,#003547, 12925.7, 0
12.5, -65.55,-4910,#002D44, 12635.5, 0
12.5, -65.05,-4691,#003346, 13580.6, 0
12.5, -64.50,-3998,#093848, 14988.7, 0
12.5, -64.00,-2937,#1B5563, 16857.2, 0
12.5, -63.50,-1071,#225C67, 18130.1, 0
12.5, -63.00,-3036,#154A5A, 18794.3, 0
12.5, -62.50,-2971,#16505E, 18377.6, 0
12.5, -61.95,-2844,#174F60, 17582.7, 0
12.5, -61.45,   24,#2B453A, 17571.1, 0
12.5, -60.95,-1616,#164A57, 17775.7, 0
12.5, -60.45,-2501,#195263, 17738.5, 0
12.5, -59.90,-1819,#205D6F, 17130.3, 0
12.5, -59.40,-1758,#185A66, 16452.7, 0
12.5, -58.90,-1698,#1D5868, 16256.0, 0
12.5, -58.40,-2160,#164E5D, 15795.9, 0
12.5, -57.85,-2966,#093848, 15449.8, 0
12.5, -57.35,-4480,#003949, 14936.0, 0
12.5, -56.85,-4438,#00394A, 14692.2, 0
12.5, -56.35,-4451,#00374B, 14235.7, 0
12.5, -55.80,-4522,#00374B, 14035.2, 0
12.5, -55.30,-4595,#023749, 13563.6, 0
12.5, -54.80,-4698,#003446, 13389.5, 0
12.5, -54.30,-4805,#003046, 12981.4, 0
12.5, -53.75,-4894,#003245, 12873.2, 0
12.5, -53.25,-4880,#002D42, 12386.7, 0
12.5, -52.75,-4936,#033347, 11939.0, 0
12.5, -52.25,-5093,#002E42, 11896.6, 0
12.5, -51.70,-5184,#002F43, 11946.5, 0
12.5, -51.20,-5274,#012E43, 11802.0, 0
12.5, -50.70,-4992,#003346, 11491.0, 0
12.5, -50.20,-4715,#013948, 11320.5, 0
12.5, -49.65,-5048,#003044, 11674.3, 0
12.5, -49.15,-5022,#003346, 11824.8, 0
12.5, -48.65,-4947,#013044, 11639.6, 0
12.5, -48.15,-4560,#003346, 11567.8, 0
12.5, -47.60,-4744,#003344, 11717.3, 0
12.5, -47.10,-4847,#002836, 11788.3, 0
12.5, -46.60,-4063,#06394C, 11854.5, 0
12.5, -46.10,-3611,#0E4154, 11641.6, 0
12.5, -45.60,-3490,#144553, 11400.2, 0
12.5, -45.05,-3097,#185061, 11312.9, 0
12.5, -44.55,-2624,#07313F, 11280.4, 0
12.5, -44.05,-4397,#044352, 11158.5, 0
12.5, -43.55,-4121,#09394D, 11015.6, 0
12.5, -43.00,-4390,#023A4B, 11327.2, 0
12.5, -42.50,-4808,#002F3F, 11073.6, 0
12.5, -42.00,-4803,#00252F, 10859.4, 0
12.5, -41.50,-4303,#023546, 10622.6, 0
12.5, -40.95,-4654,#023A4B, 10669.7, 0
12.5, -40.45,-4542,#003041, 10436.5, 0
12.5, -39.95,-4326,#01384D,  9994.3, 0
12.5, -39.45,-4611,#02364B,  9848.3, 0
12.5, -38.90,-4763,#023548,  9912.0, 0
12.5, -38.40,-5056,#012F46, 10000.7, 0
12.5, -37.90,-4653,#033347,  9899.5, 0
12.5, -37.40,-5009,#013145, 10081.3, 0
12.5, -36.85,-5253,#012F3F, 10430.2, 0
12.5, -36.35,-5517,#002B40, 10470.8, 0
12.5, -35.85,-5421,#012A3C, 10242.4, 0
12.5, -35.35,-5184,#003041, 10220.2, 0
12.5, -34.80,-5186,#013042, 10409.2, 0
12.5, -34.30,-5559,#002F43, 10465.4, 0
12.5, -33.80,-6000,#012B41, 10490.8, 0
12.5, -33.30,-5512,#00273A, 10625.8, 0
12.5, -32.75,-5647,#022C42, 10177.5, 0
12.5, -32.25,-5470,#002D42,  9807.0, 0
12.5, -31.75,-5602,#002D44,  9830.7, 0
12.5, -31.25,-5867,#002D42,  9316.6, 0
12.5, -30.75,-5696,#002B40,  9232.1, 0
12.5, -30.20,-5763,#002B40,  8956.5, 0
12.5, -29.70,-5813,#022C42,  8966.1, 0
12.5, -29.20,-5498,#002D42,  8844.5, 0
12.5, -28.70,-5549,#002F43,  8426.2, 0
12.5, -28.15,-5420,#002F43,  8398.8, 0
12.5, -27.65,-5404,#013044,  8547.2, 0
12.5, -27.15,-5209,#003044,  8625.5, 0
12.5, -26.65,-5226,#002F43,  8703.1, 0
12.5, -26.10,-5074,#003044,  8404.3, 0
12.5, -25.60,-4973,#013145,  8557.8, 0
12.5, -25.10,-4956,#013145,  8125.8, 0
12.5, -24.60,-4964,#013145,  7555.5, 0
12.5, -24.05,-4944,#013145,  7218.1, 0
12.5, -23.55,-4927,#003245,  7175.4, 0
12.5, -23.05,-4926,#013145,  7021.4, 0
12.5, -22.55,-4939,#013145,  6748.4, 0
12.5, -22.00,-4888,#003245,  6754.0, 0
12.5, -21.50,-4838,#003245,  6842.1, 0
12.5, -21.00,-4812,#003245,  7335.1, 0
12.5, -20.50,-4769,#003547,  7864.9, 0
12.5, -19.95,-4710,#003547,  8426.2, 0
12.5, -19.45,-4622,#01354A,  8872.6, 0
12.5, -18.95,-4302,#033A4E,  9805.4, 0
12.5, -18.45,-4088,#0D4254, 10579.4, 0
12.5, -17.90,-2208,#225C6A, 10696.3, 0
12.5, -17.40,  -56,#2E727F, 10819.8, 0
12.5, -16.90,  -11,#2C727E, 12600.7, 0
12.5, -16.40,   11,#63633D, 15724.4, 0
12.5, -15.85,   33,#354619, 15581.2, 0
12.5, -15.35,   33,#344A1B, 15013.9, 0
12.5, -14.85,   55,#3A451B, 13954.1, 0
12.5, -14.35,   35,#4D5023, 12985.2, 0
12.5, -13.85,   79,#4E4F25, 13493.2, 0
12.5, -13.30,   75,#786A39, 13099.8, 0
12.5, -12.80,  139,#64572B, 11034.9, 0
12.5, -12.30,  143,#6C5A36, 11618.2, 0
12.5, -11.80,  163,#786239, 13729.5, 0
12.5, -11.25,  157,#75633D, 11945.2, 0
12.5, -10.75,  417,#7B6A3F, 16126.3, 0
12.5, -10.25,  261,#7A643F, 13814.6, 0
12.5,  -9.75,  479,#7A633A, 14190.3, 0
12.5,  -9.20,  353,#866D44, 13647.6, 0
12.5,  -8.70,  581,#7F673B, 15553.3, 0
12.5,  -8.20,  453,#846840, 12611.3, 0
12.5,  -7.70,  363,#A38259, 11367.0, 0
12.5,  -7.15,  312,#A6855C, 10777.4, 0
12.5,  -6.65,  295,#9A8359, 10148.6, 0
12.5,  -6.15,  324,#8F734B, 10320.9, 0
12.5,  -5.65,  350,#987D52, 10279.3, 0
12.5,  -5.10,  322,#9B7E56,  9691.7, 0
12.5,  -4.60,  388,#937B4F, 12091.5, 0
12.5,  -4.10,  352,#8E7147,  9328.1, 0
12.5,  -3.60,  270,#9A7F54,  9138.6, 0
12.5,  -3.05,  312,#A28050,  9014.4, 0
12.5,  -2.55,  279,#9D7C51,  8648.0, 0
12.5,  -2.05,  321,#B28D63,  7772.2, 0
12.5,  -1.55,  302,#B69167,  7767.6, 0
12.5,  -1.00,  284,#BD976A,  7012.5, 0
12.5,  -0.50,  282,#BB9469,  6837.9, 0
12.5,   0.00,  270,#BE9C6F,  7069.6, 0
12.5,   0.50,  295,#AD8C63,  6856.3, 0
