lat,long,altitude,pix,high,low
-31.0, -44.00, -3352,#134659,26.2, 13.2
-31.0, -43.40, -3716,#0E4152,26.0, 13.0
-31.0, -42.80, -3889,#0E3E52,25.7, 12.9
-31.0, -42.25, -3702,#0F4456,25.7, 12.4
-31.0, -41.65, -3792,#0E4355,25.7, 12.1
-31.0, -41.05, -3801,#104354,25.7, 12.0
-31.0, -40.50, -3858,#0D4254,25.7, 12.3
-31.0, -39.90, -3913,#0D3C50,25.9, 12.1
-31.0, -39.30, -4121,#083B4E,26.0, 12.2
-31.0, -38.75, -3755,#0F4456,26.0, 12.4
-31.0, -38.15, -3101,#144C5D,26.0, 12.4
-31.0, -37.55, -2909,#144D5E,25.7, 12.7
-31.0, -37.00, -2046,#1F5A6A,25.6, 13.0
-31.0, -36.40, -1483,#245F6D,25.5, 13.0
-31.0, -35.85, -1241,#215C6C,25.6, 13.1
-31.0, -35.25, -1511,#1F5D6A,25.5, 13.2
-31.0, -34.65, -2222,#215465,25.3, 13.0
-31.0, -34.10,  -825,#246372,25.4, 12.9
-31.0, -33.50, -1113,#246470,25.7, 12.7
-31.0, -32.90, -1654,#225D6B,25.7, 12.5
-31.0, -32.35, -2736,#174F5E,25.7, 12.9
-31.0, -31.75, -3190,#164F60,25.5, 12.9
-31.0, -31.15, -4124,#0C3F52,25.4, 12.8
-31.0, -30.60, -4151,#053E4F,25.5, 12.7
-31.0, -30.00, -3855,#0F3E4E,25.5, 12.7
-31.0, -29.40, -3067,#144556,25.7, 13.2
-31.0, -28.85, -3046,#154D5C,25.8, 13.5
-31.0, -28.25, -4112,#083B4E,25.6, 13.3
-31.0, -27.65, -4640,#003748,25.4, 12.7
-31.0, -27.10, -4761,#002E41,25.0, 12.3
-31.0, -26.50, -4455,#053448,25.0, 12.4
-31.0, -25.90, -4593,#013145,25.1, 12.9
-31.0, -25.35, -4420,#003145,25.2, 13.4
-31.0, -24.75, -4480,#003144,25.2, 13.5
-31.0, -24.15, -4548,#0A3F51,25.3, 13.5
-31.0, -23.60, -4582,#003344,25.3, 13.2
-31.0, -23.00, -4410,#023B4E,25.4, 12.8
-31.0, -22.45, -4551,#013648,25.5, 12.3
-31.0, -21.85, -4531,#02394D,25.7, 12.9
-31.0, -21.25, -4571,#03374C,25.6, 13.1
-31.0, -20.70, -4531,#01394A,25.7, 12.8
-31.0, -20.10, -4126,#0B3E51,25.6, 12.4
-31.0, -19.50, -3944,#0D4254,25.5, 12.4
-31.0, -18.95, -3809,#0F4051,25.4, 12.3
-31.0, -18.35, -4000,#114253,25.2, 12.4
-31.0, -17.75, -4040,#083B4C,24.8, 12.9
-31.0, -17.20, -3674,#0F4255,24.7, 12.9
-31.0, -16.60, -3664,#0E4355,24.7, 12.7
-31.0, -16.00, -3569,#14475A,24.7, 12.8
-31.0, -15.45, -3554,#104354,24.7, 13.0
-31.0, -14.85, -3338,#0E3C4C,24.8, 13.1
-31.0, -14.25, -3187,#14475A,24.8, 13.0
-31.0, -13.70, -2611,#184356,24.8, 12.9
-31.0, -13.10, -2642,#134252,24.6, 12.8
-31.0, -12.50, -3186,#0A3A46,24.7, 12.8
-31.0, -11.95, -3365,#124558,24.8, 12.7
-31.0, -11.35, -3470,#124759,24.8, 12.7
-31.0, -10.80, -3461,#0F4255,24.9, 12.6
-31.0, -10.20, -3795,#0F4253,25.2, 12.4
-31.0,  -9.60, -3951,#0E4154,25.1, 12.2
-31.0,  -9.05, -3931,#0D4053,25.1, 12.1
-31.0,  -8.45, -3983,#0B4354,25.1, 12.0
-31.0,  -7.85, -3922,#0B3C4B,25.1, 11.7
-31.0,  -7.30, -4212,#083B4E,24.7, 11.6
-31.0,  -6.70, -3948,#0C3F52,24.8, 11.4
-31.0,  -6.10, -4229,#0B3E51,24.9, 11.8
-31.0,  -5.55, -4297,#063B4D,24.7, 11.8
-31.0,  -4.95, -4455,#02394D,24.4, 11.7
-31.0,  -4.35, -4286,#023B4C,24.1, 11.7
-31.0,  -3.80, -4175,#033445,24.0, 11.8
-31.0,  -3.20, -4610,#003245,23.9, 11.6
-31.0,  -2.60, -4611,#003A4C,23.8, 11.8
-31.0,  -2.05, -4496,#033C4D,23.6, 11.5
-31.0,  -1.45, -4711,#003A4A,23.6, 11.6
-31.0,  -0.85, -4057,#093445,23.5, 11.7
-31.0,  -0.30, -2721,#1B5062,23.5, 11.9
-31.0,   0.30, -4368,#002E42,23.5, 11.7
-31.0,   0.85, -4378,#02354A,23.4, 11.8
-31.0,   1.45, -4423,#003B4D,23.7, 11.8
-31.0,   2.05, -3444,#164F63,23.6, 12.1
-31.0,   2.60, -2095,#205D6F,23.5, 11.7
-31.0,   3.20, -4673,#032F3C,23.3, 11.6
-31.0,   3.80, -5005,#013145,23.3, 12.3
-31.0,   4.35, -4704,#003547,23.4, 12.4
-31.0,   4.95, -5134,#003345,23.3, 11.8
-31.0,   5.55, -5198,#003044,23.2, 12.1
-31.0,   6.10, -5028,#003044,23.2, 12.3
-31.0,   6.70, -4948,#023246,23.0, 12.4
-31.0,   7.30, -5085,#003247,22.9, 12.2
-31.0,   7.85, -4988,#003044,22.7, 11.9
-31.0,   8.45, -4886,#003044,22.5, 12.3
-31.0,   9.05, -4881,#003547,22.6, 11.7
-31.0,   9.60, -4820,#003245,22.4, 11.9
-31.0,  10.20, -4818,#003144,22.3, 11.6
-31.0,  10.80, -4721,#003449,22.3, 11.6
-31.0,  11.35, -4446,#00394C,22.3, 12.0
-31.0,  11.95, -4118,#0B3E51,22.3, 12.2
-31.0,  12.50, -3739,#0F4456,22.2, 12.2
-31.0,  13.10, -3259,#14495B,22.1, 12.5
-31.0,  13.70, -2974,#175061,22.2, 12.1
-31.0,  14.25, -2577,#1B5465,21.9, 11.9
-31.0,  14.85, -2234,#1D5667,22.1, 11.9
-31.0,  15.45,  -888,#276675,22.0, 12.2
-31.0,  16.00,  -190,#2C6E7C,22.0, 12.4
-31.0,  16.60,  -258,#2C707D,22.2, 12.1
-31.0,  17.20,  -182,#2D717E,32.3,  7.3
-31.0,  17.75,   131,#9B7046,33.2,  6.0
-31.0,  18.35,   305,#D6AD7F,42.0,  3.3
-31.0,  18.95,   327,#C39766,41.7,  0.9
-31.0,  19.50,   897,#8E6B45,41.6,  1.8
-31.0,  20.10,  1047,#B68B54,35.3, -3.5
-31.0,  20.70,  1035,#B69568,35.7, -1.7
-31.0,  21.25,  1360,#9E7547,36.6, -0.7
-31.0,  21.85,  1325,#9D7843,35.5, -2.0
-31.0,  22.45,  1515,#8F6736,34.2, -2.9
-31.0,  23.00,  1332,#886434,37.6, -1.6
-31.0,  23.60,  1272,#A77F4C,35.9, -2.4
-31.0,  24.15,  1410,#987243,32.7, -6.0
-31.0,  24.75,  1410,#947244,33.3, -5.0
-31.0,  25.35,  1391,#9E7D50,35.3, -1.1
-31.0,  25.90,  1452,#8D6B3B,34.6, -1.9
-31.0,  26.50,  1482,#856D3D,33.7, -4.8
-31.0,  27.10,  1450,#947D4B,33.6, -3.1
-31.0,  27.65,  1867,#785C2C,31.9, -1.3
-31.0,  28.25,  1350,#6E5F38,33.7, -0.4
-31.0,  28.85,   979,#7E653D,38.7,  2.3
-31.0,  29.40,   924,#645E3C,40.5,  4.9
-31.0,  30.00,   309,#5C5634,32.8, 10.0
-31.0,  30.60, -2126,#1A4450,34.0,  9.6
-31.0,  31.15, -2996,#164E5F,27.5, 15.4
-31.0,  31.75, -2784,#134657,26.9, 15.3
-31.0,  32.35, -3048,#154A5C,26.9, 15.8
-31.0,  32.90, -3200,#134B5C,26.6, 15.9
-31.0,  33.50, -3137,#154A5C,26.8, 15.3
-31.0,  34.10, -2961,#134657,26.6, 15.4
-31.0,  34.65, -2772,#164E5D,26.9, 14.7
-31.0,  35.25, -2540,#1F5361,27.0, 14.2
-31.0,  35.85, -2149,#114B57,26.8, 15.1
-31.0,  36.40, -2948,#1A4F5D,26.3, 14.9
-31.0,  37.00, -4183,#023A53,26.3, 14.3
-31.0,  37.55, -4820,#003245,26.2, 14.0
-31.0,  38.15, -5148,#003245,25.9, 14.1
-31.0,  38.75, -4986,#013147,25.8, 13.8
-31.0,  39.30, -4965,#013147,25.7, 13.2
-31.0,  39.90, -4948,#003245,25.8, 12.8
-31.0,  40.50, -4957,#003247,25.9, 13.0
-31.0,  41.05, -4737,#003345,26.0, 13.2
-31.0,  41.65, -4715,#003748,26.0, 13.2
