lat,long,altitude,pix,high,low
-23.5, 175.90,-4447,#023B4E,28.1, 19.7
-23.5, 176.45,-4502,#00364A,28.1, 19.5
-23.5, 177.00,-4413,#003547,28.0, 19.6
-23.5, 177.55,-4333,#063B4D,28.1, 19.5
-23.5, 178.10,-4098,#0A3D50,28.1, 19.3
-23.5, 178.65,-3667,#0D4051,28.2, 19.2
-23.5, 179.20,-3033,#0F4255,28.1, 19.0
-23.5, 179.75,-2465,#1A5261,28.2, 19.1
-23.0,-179.75,-2517,#195160,28.2, 19.8
-23.0,-179.20,-1737,#215A6B,28.2, 19.7
-23.0,-178.65, -847,#1F5B65,28.2, 20.1
-23.0,-178.10,-2777,#1C4F60,27.9, 20.3
-23.0,-177.55,-1919,#1E5967,28.0, 20.3
-23.0,-177.00,-2886,#09313B,28.0, 20.0
-23.0,-176.45,-2016,#0B3646,28.1, 20.1
-23.0,-175.95, -666,#16505E,28.1, 20.1
-23.0,-175.40,-2515,#052B34,28.2, 20.1
-23.0,-174.85,-6748,#000918,27.9, 20.2
-23.0,-174.30,-7202,#01253D,27.9, 19.9
-23.0,-173.75,-6006,#002639,28.0, 19.8
-23.0,-173.20,-5929,#002C41,27.8, 19.4
-23.0,-172.65,-5697,#002E42,27.7, 19.6
-23.0,-172.15,-5812,#002C41,27.6, 19.9
-23.0,-171.60,-5710,#012E43,27.6, 19.4
-23.0,-171.05,-5601,#002D42,27.6, 19.2
-23.0,-170.50,-5924,#002B40,27.7, 19.6
-23.0,-169.95,-5647,#012B41,27.8, 19.3
-23.0,-169.40,-5527,#002D42,27.8, 19.0
-23.0,-168.85,-5586,#002D42,27.8, 18.6
-23.0,-168.35,-5628,#002E42,27.9, 18.3
-23.0,-167.80,-5529,#002C41,27.8, 18.1
-23.0,-167.25,-5857,#002D42,27.9, 18.5
-23.0,-166.70,-5608,#002E42,27.8, 18.9
-23.0,-166.15,-5258,#00293F,27.8, 18.6
-23.0,-165.60,-5266,#02222F,27.8, 18.0
-23.0,-165.05,-5231,#003047,27.7, 17.7
-23.0,-164.50,-5161,#002E42,27.7, 17.9
-23.0,-164.00,-5090,#002F43,27.8, 18.0
-23.0,-163.45,-5162,#002F43,27.9, 18.5
-23.0,-162.90,-5069,#002F43,27.9, 18.5
-23.0,-162.35,-4893,#003346,27.6, 18.5
-23.0,-161.80,-4698,#012636,27.6, 18.8
-23.0,-161.25,-4598,#00394C,27.6, 18.8
-23.0,-160.70,-4745,#003346,27.7, 18.9
-23.0,-160.20,-4635,#033347,27.7, 19.0
-23.0,-159.65,-4852,#033043,27.7, 19.0
-23.0,-159.10,-4764,#002C40,27.7, 18.7
-23.0,-158.55,-4678,#003044,27.7, 18.5
-23.0,-158.00,-4744,#053245,27.7, 18.4
-23.0,-157.45,-5015,#002F43,27.8, 18.0
-23.0,-156.90,-4950,#003044,27.6, 17.7
-23.0,-156.40,-4940,#013145,27.6, 18.3
-23.0,-155.85,-4927,#003449,27.7, 19.4
-23.0,-155.30,-4840,#003245,27.8, 19.5
-23.0,-154.75,-4311,#00131B,27.7, 19.7
-23.0,-154.20,-4995,#00354C,27.7, 19.8
-23.0,-153.65,-4607,#003344,27.7, 19.8
-23.0,-153.10,-4463,#003B4D,27.8, 19.9
-23.0,-152.60,-4540,#003849,27.7, 19.8
-23.0,-152.05,-4438,#063E4F,27.6, 19.6
-23.0,-151.50,-4840,#003245,27.8, 19.4
-23.0,-150.95,-4218,#012B39,27.9, 19.3
-23.0,-150.40,-4619,#002D3C,28.0, 19.4
-23.0,-149.85,-4360,#01384C,27.9, 19.3
-23.0,-149.30,-4279,#023B4E,28.0, 19.1
-23.0,-148.80,-4599,#04374A,27.9, 19.3
-23.0,-148.25,-4586,#003343,28.0, 19.3
-23.0,-147.70,-4764,#003144,27.9, 18.7
-23.0,-147.15,-4901,#002E42,27.8, 18.6
-23.0,-146.60,-4818,#023143,27.8, 18.2
-23.0,-146.05,-5367,#002F43,27.7, 18.6
-23.0,-145.50,-4376,#03374C,27.7, 19.3
-23.0,-145.00,-4095,#023145,27.7, 19.4
-23.0,-144.45,-3684,#013648,27.5, 18.9
-23.0,-143.90,-4751,#002D41,27.5, 19.0
-23.0,-143.35,-4682,#023548,27.6, 19.4
-23.0,-142.80,-4687,#003346,27.5, 19.0
-23.0,-142.25,-4545,#013447,27.4, 19.1
-23.0,-141.70,-4349,#013241,27.3, 19.3
-23.0,-141.20,-4599,#003647,27.2, 19.2
-23.0,-140.65,-4411,#013648,27.2, 19.3
-23.0,-140.10,-4280,#0A3E53,27.2, 19.2
-23.0,-139.55,-4069,#0B3E51,27.2, 19.0
-23.0,-139.00,-4153,#013B51,27.3, 19.1
-23.0,-138.45,-4419,#003446,27.3, 19.2
-23.0,-137.90,-4293,#0B4052,27.4, 19.2
-23.0,-137.40, -954,#06272C,27.5, 19.3
-23.0,-136.85,-3785,#104354,27.6, 19.1
-23.0,-136.30,-4245,#0E3E52,27.5, 18.9
-23.0,-135.75,-4309,#0B3B4F,27.2, 19.1
-23.0,-135.20,-3710,#144B5F,27.1, 19.0
-23.0,-134.65,-3866,#0A3D50,27.0, 19.1
-23.0,-134.10,-4066,#012F3E,27.1, 19.1
-23.0,-133.55,-3293,#134657,27.3, 19.0
-23.0,-133.05,-3399,#134053,27.3, 18.9
-23.0,-132.50,-3344,#114455,27.2, 19.1
-23.0,-131.95,-3184,#0B4553,27.1, 19.1
-23.0,-131.40,-3094,#144856,27.0, 19.3
-23.0,-130.85,-3385,#0F3D4D,26.9, 19.4
-23.0,-130.30,-3378,#114455,26.8, 19.5
-23.0,-129.75,-3415,#124556,26.8, 19.5
-23.0,-129.25,-3537,#0D4051,26.8, 19.5
-23.0,-128.70,-3335,#104356,26.7, 19.5
-23.0,-128.15,-3779,#0B3E4F,26.7, 19.5
-23.0,-127.60,-3768,#0D3D51,26.7, 19.6
-23.0,-127.05,-3849,#0C3F50,26.8, 19.3
