lat,long,altitude,pix,rain,snow
-61.5, -29.85,-4759,#002E3E,  783.3, 55115.9
-61.5, -28.80,-3962,#0D4055,  750.1, 55800.5
-61.5, -27.75,-4361,#003B50,  722.3, 56095.2
-61.5, -26.70,-4572,#001117,  694.6, 56464.8
-61.5, -25.65,-3917,#094158,  690.7, 56254.8
-61.5, -24.60,-4023,#01384D,  694.0, 56060.2
-61.5, -23.55,-4413,#003346,  688.4, 55961.5
-61.5, -22.50,-4423,#023D4D,  695.7, 56119.0
-61.5, -21.45,-3566,#003144,  667.7, 56569.1
-61.5, -20.40,-4939,#002634,  645.0, 57169.7
-61.5, -19.35,-4379,#002F40,  620.4, 57653.4
-61.5, -18.30,-4100,#083B4E,  579.5, 57761.9
-61.5, -17.25,-4176,#003244,  546.3, 57892.8
-61.5, -16.20,-4911,#002F43,  514.8, 58391.2
-61.5, -15.15,-4769,#003041,  495.9, 58697.8
-61.5, -14.15,-5313,#003245,  474.1, 59425.1
-61.5, -13.10,-4893,#003044,  467.4, 60381.3
-61.5, -12.05,-4351,#013042,  461.8, 61069.4
-61.5, -11.00,-5029,#003446,  470.5, 61238.8
-61.5,  -9.95,-4788,#013145,  462.9, 60901.4
-61.5,  -8.90,-4758,#003348,  467.2, 61177.9
-61.5,  -7.85,-5095,#003046,  455.3, 60817.4
-61.5,  -6.80,-5174,#002F43,  448.0, 60412.1
-61.5,  -5.75,-5274,#002F43,  442.4, 60570.3
-61.5,  -4.70,-5142,#002F43,  433.6, 60957.4
-61.5,  -3.65,-5110,#022D40,  422.2, 60748.8
-61.5,  -2.60,-5249,#002E45,  401.1, 61356.4
-61.5,  -1.55,-5340,#002F43,  392.9, 62202.0
-61.5,  -0.50,-5412,#002F43,  367.6, 61521.6
-61.5,   0.50,-5447,#002F43,  375.4, 61446.0
-61.5,   1.55,-5318,#002F43,  370.4, 61188.4
-61.5,   2.60,-5370,#002F43,  366.0, 60595.5
-61.5,   3.65,-5375,#002F43,  361.0, 61203.8
-61.5,   4.70,-5312,#002F43,  358.1, 61489.4
-61.5,   5.75,-5082,#003046,  339.3, 61838.0
-61.5,   6.80,-5332,#003046,  330.4, 62425.3
-61.5,   7.85,-5008,#003046,  326.0, 62668.2
-61.5,   8.90,-4966,#013145,  321.7, 63458.5
-61.5,   9.95,-4641,#003348,  321.6, 63977.2
