lat,long,altitude,pix,rain,snow
-49.5, 145.00,-3110,#124759,12663.1,   504.7
-49.5, 145.75,-4580,#023548,12447.0,   537.6
-49.5, 146.55,-4232,#00303F,12388.6,   540.4
-49.5, 147.30,-4242,#04394B,12457.7,   484.4
-49.5, 148.10,-4277,#04394B,12304.1,   434.0
-49.5, 148.85,-4083,#0F3C51,12077.8,   483.7
-49.5, 149.60,-3161,#134657,11814.6,   523.6
-49.5, 150.40,-2563,#184751,11554.9,   379.4
-49.5, 151.15,-3270,#002A33,11865.2,   376.6
-49.5, 151.90,-3966,#094256,12279.3,   400.4
-49.5, 152.70,-4109,#04394B,12649.5,   400.4
-49.5, 153.45,-4533,#00394C,12753.5,   357.7
-49.5, 154.25,-4747,#00303F,12945.0,   400.4
-49.5, 155.00,-4749,#003245,13229.9,   497.7
-49.5, 155.75,-4429,#003945,13153.5,   516.6
-49.5, 156.55,-4440,#00384C,13022.8,   450.8
-49.5, 157.30,-4560,#00374B,12939.3,   392.0
-49.5, 158.10,-5255,#022F44,12862.2,   383.6
-49.5, 158.85,-4752,#012E43,12991.0,   442.4
-49.5, 159.60,-4589,#023145,13305.5,   443.1
-49.5, 160.40,-4378,#05384B,13312.3,   434.0
-49.5, 161.15,-4334,#0C394E,13423.4,   467.6
-49.5, 161.90,-4590,#003344,13891.6,   464.1
-49.5, 162.70,-4336,#032E3F,14291.5,   565.6
-49.5, 163.45,-4875,#072D44,14365.0,   487.9
-49.5, 164.25, -450,#285157,14662.5,   383.6
-49.5, 165.00,-3256,#104354,15126.0,   402.5
-49.5, 165.75,-1660,#1F6571,15404.4,   436.8
-49.5, 166.55, -421,#296D7A,15017.5,   351.4
-49.5, 167.30, -397,#276977,14257.5,   271.6
-49.5, 168.10, -527,#296B79,13738.7,   255.5
-49.5, 168.85, -733,#296B79,13494.3,   378.7
-49.5, 169.60, -628,#296B79,12699.5,   345.1
-49.5, 170.40, -616,#2A6C7A,11967.2,   251.3
-49.5, 171.15, -438,#2B6D7B,11517.3,   248.5
-49.5, 171.90, -265,#236571,10962.0,   321.3
-49.5, 172.70, -443,#2B6D7B,10614.2,   347.9
-49.5, 173.45, -488,#2C6E7C,10359.2,   360.5
-49.5, 174.25, -492,#296B79,10070.4,   329.0
-49.5, 175.00, -579,#276977, 9926.3,   275.8
-49.5, 175.75, -942,#2A6573, 9536.4,   313.6
-49.5, 176.55,-1649,#226170, 9443.6,   361.2
-49.5, 177.30,-1145,#2A6573, 9226.4,   326.2
-49.5, 178.10, -987,#1D5D69, 9131.4,   310.1
-49.5, 178.85, -893,#29636F, 9184.3,   317.8
-49.5, 179.60,-1894,#19535F, 9175.1,   305.9
