lat,long,altitude,pix,high,low
-49.5, 145.00,-3110,#124759,14.8,  1.1
-49.5, 145.75,-4580,#023548,14.6,  1.3
-49.5, 146.55,-4232,#00303F,14.8,  1.1
-49.5, 147.30,-4242,#04394B,14.5,  1.5
-49.5, 148.10,-4277,#04394B,14.5,  1.7
-49.5, 148.85,-4083,#0F3C51,14.3,  1.6
-49.5, 149.60,-3161,#134657,14.0,  1.5
-49.5, 150.40,-2563,#184751,14.6,  1.7
-49.5, 151.15,-3270,#002A33,14.5,  1.7
-49.5, 151.90,-3966,#094256,14.8,  1.5
-49.5, 152.70,-4109,#04394B,15.3,  1.4
-49.5, 153.45,-4533,#00394C,15.3,  1.2
-49.5, 154.25,-4747,#00303F,15.1,  1.6
-49.5, 155.00,-4749,#003245,15.1,  1.8
-49.5, 155.75,-4429,#003945,14.8,  1.5
-49.5, 156.55,-4440,#00384C,14.7,  1.6
-49.5, 157.30,-4560,#00374B,14.8,  2.0
-49.5, 158.10,-5255,#022F44,14.8,  1.8
-49.5, 158.85,-4752,#012E43,14.7,  1.9
-49.5, 159.60,-4589,#023145,14.5,  1.9
-49.5, 160.40,-4378,#05384B,14.4,  1.9
-49.5, 161.15,-4334,#0C394E,14.6,  2.2
-49.5, 161.90,-4590,#003344,14.6,  2.1
-49.5, 162.70,-4336,#032E3F,14.3,  1.7
-49.5, 163.45,-4875,#072D44,14.4,  1.8
-49.5, 164.25, -450,#285157,14.5,  1.8
-49.5, 165.00,-3256,#104354,14.8,  1.9
-49.5, 165.75,-1660,#1F6571,15.2,  1.7
-49.5, 166.55, -421,#296D7A,15.1,  2.1
-49.5, 167.30, -397,#276977,14.7,  1.9
-49.5, 168.10, -527,#296B79,15.0,  1.5
-49.5, 168.85, -733,#296B79,15.1,  1.8
-49.5, 169.60, -628,#296B79,15.0,  1.8
-49.5, 170.40, -616,#2A6C7A,15.3,  1.7
-49.5, 171.15, -438,#2B6D7B,15.2,  1.6
-49.5, 171.90, -265,#236571,15.0,  1.4
-49.5, 172.70, -443,#2B6D7B,15.1,  1.7
-49.5, 173.45, -488,#2C6E7C,15.1,  1.3
-49.5, 174.25, -492,#296B79,14.9,  1.3
-49.5, 175.00, -579,#276977,14.7,  1.5
-49.5, 175.75, -942,#2A6573,14.6,  1.2
-49.5, 176.55,-1649,#226170,14.5,  1.4
-49.5, 177.30,-1145,#2A6573,14.4,  1.5
-49.5, 178.10, -987,#1D5D69,14.4,  1.4
-49.5, 178.85, -893,#29636F,14.6,  1.6
-49.5, 179.60,-1894,#19535F,14.4,  1.5
-49.0,-179.60,-1253,#1D5765,14.8,  1.7
-49.0,-178.85,-3452,#0A3546,14.6,  1.7
-49.0,-178.10,-4973,#013145,14.8,  1.8
-49.0,-177.35,-4661,#01354A,15.6,  1.7
-49.0,-176.60,-4667,#002B3A,15.9,  1.6
-49.0,-175.80,-5123,#012C3F,16.1,  1.5
-49.0,-175.05,-5483,#002E42,16.4,  1.8
-49.0,-174.30,-5262,#002F43,16.2,  1.8
-49.0,-173.55,-5387,#002F43,15.9,  1.7
-49.0,-172.75,-5322,#002D41,15.6,  1.7
-49.0,-172.00,-5477,#002F43,15.7,  1.4
-49.0,-171.25,-5203,#002F43,15.9,  1.0
-49.0,-170.50,-5342,#002D41,15.6,  0.7
-49.0,-169.75,-5211,#003044,15.4,  0.9
-49.0,-168.95,-5283,#002F43,15.3,  0.6
