"lang","co","link"
"af","Afghanistan","https://af.wikipedia.org/wiki/Afghanistan"
"sq","Afghanistan","https://sq.wikipedia.org/wiki/Afganistani"
"am","Afghanistan","https://am.wikipedia.org/wiki/%E1%8A%A0%E1%8D%8D%E1%8C%8B%E1%8A%92%E1%88%B5%E1%89%B3%E1%8A%95"
"ar","Afghanistan","https://ar.wikipedia.org/wiki/%D8%A3%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86"
"hy","Afghanistan","https://hy.wikipedia.org/wiki/%D4%B1%D6%86%D5%B2%D5%A1%D5%B6%D5%BD%D5%BF%D5%A1%D5%B6"
"az","Afghanistan","https://az.wikipedia.org/wiki/%C6%8Ffqan%C4%B1stan"
"eu","Afghanistan","https://eu.wikipedia.org/wiki/Afganistan"
"be","Afghanistan","https://be.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D1%96%D1%81%D1%82%D0%B0%D0%BD"
"bn","Afghanistan","https://bn.wikipedia.org/wiki/%E0%A6%86%E0%A6%AB%E0%A6%97%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8"
"bs","Afghanistan","https://bs.wikipedia.org/wiki/Afganistan"
"bg","Afghanistan","https://bg.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD"
"ca","Afghanistan","https://ca.wikipedia.org/wiki/Afganistan"
"ceb","Afghanistan","https://ceb.wikipedia.org/wiki/Nasod_nga_Afghano"
"zh","Afghanistan","https://zh.wikipedia.org/wiki/%E9%98%BF%E5%AF%8C%E6%B1%97"
"zh-TW","Afghanistan","https://zh-classical.wikipedia.org/wiki/%E9%98%BF%E5%AF%8C%E6%B1%97%E6%96%AF%E5%9D%A6"
"co","Afghanistan","https://co.wikipedia.org/wiki/Afghanistan"
"hr","Afghanistan","https://hr.wikipedia.org/wiki/Afganistan"
"cs","Afghanistan","https://cs.wikipedia.org/wiki/Afgh%C3%A1nist%C3%A1n"
"da","Afghanistan","https://da.wikipedia.org/wiki/Afghanistan"
"nl","Afghanistan","https://nl.wikipedia.org/wiki/Afghanistan"
"en","Afghanistan","https://en.wikipedia.org/wiki/Afghanistan"
"eo","Afghanistan","https://eo.wikipedia.org/wiki/Afganio"
"et","Afghanistan","https://et.wikipedia.org/wiki/Afganistan"
"tl","Afghanistan","https://tl.wikipedia.org/wiki/Apganistan"
"fi","Afghanistan","https://fi.wikipedia.org/wiki/Afganistan"
"fr","Afghanistan","https://fr.wikipedia.org/wiki/Afghanistan"
"fy","Afghanistan","https://fy.wikipedia.org/wiki/Afganistan"
"gl","Afghanistan","https://gl.wikipedia.org/wiki/Afganist%C3%A1n"
"ka","Afghanistan","https://ka.wikipedia.org/wiki/%E1%83%90%E1%83%95%E1%83%A6%E1%83%90%E1%83%9C%E1%83%94%E1%83%97%E1%83%98"
"de","Afghanistan","https://de.wikipedia.org/wiki/Afghanistan"
"el","Afghanistan","https://el.wikipedia.org/wiki/%CE%91%CF%86%CE%B3%CE%B1%CE%BD%CE%B9%CF%83%CF%84%CE%AC%CE%BD"
"gu","Afghanistan","https://gu.wikipedia.org/wiki/%E0%AA%85%E0%AA%AB%E0%AA%98%E0%AA%BE%E0%AA%A8%E0%AA%BF%E0%AA%B8%E0%AB%8D%E0%AA%A4%E0%AA%BE%E0%AA%A8"
"ht","Afghanistan","https://ht.wikipedia.org/wiki/Afganistan"
"ha","Afghanistan","https://ha.wikipedia.org/wiki/Afghanistan"
"haw","Afghanistan","https://haw.wikipedia.org/wiki/%CA%BBApekanikana"
"hi","Afghanistan","https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%AB%E0%A4%BC%E0%A4%97%E0%A4%BC%E0%A4%BE%E0%A4%A8%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8"
"hu","Afghanistan","https://hu.wikipedia.org/wiki/Afganiszt%C3%A1n"
"is","Afghanistan","https://is.wikipedia.org/wiki/Afganistan"
"ig","Afghanistan","https://ig.wikipedia.org/wiki/Afghanistan"
"id","Afghanistan","https://id.wikipedia.org/wiki/Afganistan"
"ga","Afghanistan","https://ga.wikipedia.org/wiki/An_Afganast%C3%A1in"
"it","Afghanistan","https://it.wikipedia.org/wiki/Afghanistan"
"ja","Afghanistan","https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%95%E3%82%AC%E3%83%8B%E3%82%B9%E3%82%BF%E3%83%B3"
"jw","Afghanistan","https://jv.wikipedia.org/wiki/Afghanistan"
"kn","Afghanistan","https://kn.wikipedia.org/wiki/%E0%B2%85%E0%B2%AB%E0%B3%8D%E0%B2%98%E0%B2%BE%E0%B2%A8%E0%B2%BF%E0%B2%B8%E0%B3%8D%E0%B2%A4%E0%B2%BE%E0%B2%A8"
"kk","Afghanistan","https://kk.wikipedia.org/wiki/%D0%90%D1%83%D2%93%D0%B0%D0%BD%D1%81%D1%82%D0%B0%D0%BD"
"km","Afghanistan","https://km.wikipedia.org/wiki/%E1%9E%A2%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9E%A0%E1%9F%92%E1%9E%80%E1%9E%B6%E1%9E%93%E1%9E%B8%E1%9E%9F%E1%9F%92%E1%9E%90%E1%9E%B6%E1%9E%93"
"ko","Afghanistan","https://ko.wikipedia.org/wiki/%EC%95%84%ED%94%84%EA%B0%80%EB%8B%88%EC%8A%A4%ED%83%84"
"ku","Afghanistan","https://ku.wikipedia.org/wiki/Efxanistan"
"ky","Afghanistan","https://ky.wikipedia.org/wiki/%D0%9E%D0%BE%D0%B3%D0%B0%D0%BD%D1%81%D1%82%D0%B0%D0%BD"
"lo","Afghanistan","https://lo.wikipedia.org/wiki/%E0%BA%9B%E0%BA%B0%E0%BB%80%E0%BA%97%E0%BA%94%E0%BA%AD%E0%BA%B1%E0%BA%9F%E0%BA%81%E0%BA%B2%E0%BA%99%E0%BA%B4%E0%BA%AA%E0%BA%B0%E0%BA%96%E0%BA%B2%E0%BA%99"
"la","Afghanistan","https://la.wikipedia.org/wiki/Afgania"
"lv","Afghanistan","https://lv.wikipedia.org/wiki/Afganist%C4%81na"
"lt","Afghanistan","https://lt.wikipedia.org/wiki/Afganistanas"
"lb","Afghanistan","https://lb.wikipedia.org/wiki/Afghanistan"
"mk","Afghanistan","https://mk.wikipedia.org/wiki/%D0%90%D0%B2%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD"
"mg","Afghanistan","https://mg.wikipedia.org/wiki/Afganist%C3%A0na"
"ms","Afghanistan","https://ms.wikipedia.org/wiki/Afghanistan"
"ml","Afghanistan","https://ml.wikipedia.org/wiki/%E0%B4%85%E0%B4%AB%E0%B5%8D%E0%B4%97%E0%B4%BE%E0%B4%A8%E0%B4%BF%E0%B4%B8%E0%B5%8D%E0%B4%A4%E0%B4%BE%E0%B5%BB"
"mt","Afghanistan","https://mt.wikipedia.org/wiki/Afganistan"
"mi","Afghanistan","https://mi.wikipedia.org/wiki/%C4%80whekenet%C4%81na"
"mr","Afghanistan","https://mr.wikipedia.org/wiki/%E0%A4%85%E0%A4%AB%E0%A4%97%E0%A4%BE%E0%A4%A3%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8"
"mn","Afghanistan","https://mn.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD"
"my","Afghanistan","https://my.wikipedia.org/wiki/%E1%80%A1%E1%80%AC%E1%80%96%E1%80%82%E1%80%94%E1%80%BA%E1%80%94%E1%80%85%E1%80%B9%E1%80%85%E1%80%90%E1%80%94%E1%80%BA%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6"
"ne","Afghanistan","https://ne.wikipedia.org/wiki/%E0%A4%85%E0%A4%AB%E0%A4%97%E0%A4%BE%E0%A4%A8%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8"
"no","Afghanistan","https://no.wikipedia.org/wiki/Afghanistan"
"ps","Afghanistan","https://ps.wikipedia.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86"
"fa","Afghanistan","https://fa.wikipedia.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86"
"pl","Afghanistan","https://pl.wikipedia.org/wiki/Afganistan"
"pt","Afghanistan","https://pt.wikipedia.org/wiki/Afeganist%C3%A3o"
"pa","Afghanistan","https://pa.wikipedia.org/wiki/%E0%A8%85%E0%A8%AB%E0%A8%BC%E0%A8%97%E0%A8%BC%E0%A8%BE%E0%A8%A8%E0%A8%BF%E0%A8%B8%E0%A8%A4%E0%A8%BE%E0%A8%A8"
"ro","Afghanistan","https://ro.wikipedia.org/wiki/Afganistan"
"ru","Afghanistan","https://ru.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD"
"sm","Afghanistan","https://sm.wikipedia.org/wiki/Afakanisitana"
"gd","Afghanistan","https://gd.wikipedia.org/wiki/Afganastan"
"sr","Afghanistan","https://sr.wikipedia.org/wiki/%D0%90%D0%B2%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD"
"sn","Afghanistan","https://sn.wikipedia.org/wiki/Afughanistani"
"sd","Afghanistan","https://sd.wikipedia.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86"
"si","Afghanistan","https://si.wikipedia.org/wiki/%E0%B6%87%E0%B7%86%E0%B7%8A%E0%B6%9C%E0%B6%B1%E0%B7%92%E0%B7%83%E0%B7%8A%E0%B6%AE%E0%B7%8F%E0%B6%B1%E0%B6%BA"
"sk","Afghanistan","https://sk.wikipedia.org/wiki/Afganistan"
"sl","Afghanistan","https://sl.wikipedia.org/wiki/Afganistan"
"so","Afghanistan","https://so.wikipedia.org/wiki/Afgaanistan"
"es","Afghanistan","https://es.wikipedia.org/wiki/Afganist%C3%A1n"
"su","Afghanistan","https://su.wikipedia.org/wiki/Apganistan"
"sw","Afghanistan","https://sw.wikipedia.org/wiki/Afghanistan"
"sv","Afghanistan","https://sv.wikipedia.org/wiki/Afghanistan"
"tg","Afghanistan","https://tg.wikipedia.org/wiki/%D0%90%D1%84%D2%93%D0%BE%D0%BD%D0%B8%D1%81%D1%82%D0%BE%D0%BD"
"ta","Afghanistan","https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%AA%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%A9%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%A9%E0%AF%8D"
"te","Afghanistan","https://te.wikipedia.org/wiki/%E0%B0%86%E0%B0%AB%E0%B1%8D%E0%B0%98%E0%B0%A8%E0%B0%BF%E0%B0%B8%E0%B1%8D%E0%B0%A4%E0%B0%BE%E0%B0%A8%E0%B1%8D"
"th","Afghanistan","https://th.wikipedia.org/wiki/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%AD%E0%B8%B1%E0%B8%9F%E0%B8%81%E0%B8%B2%E0%B8%99%E0%B8%B4%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99"
"tr","Afghanistan","https://tr.wikipedia.org/wiki/Afganistan"
"uk","Afghanistan","https://uk.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D1%96%D1%81%D1%82%D0%B0%D0%BD"
"ur","Afghanistan","https://ur.wikipedia.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86"
"uz","Afghanistan","https://uz.wikipedia.org/wiki/Afg%CA%BBoniston"
"vi","Afghanistan","https://vi.wikipedia.org/wiki/Afghanistan"
"cy","Afghanistan","https://cy.wikipedia.org/wiki/Affganistan"
"yi","Afghanistan","https://yi.wikipedia.org/wiki/%D7%90%D7%A4%D7%92%D7%90%D7%A0%D7%99%D7%A1%D7%98%D7%90%D7%9F"
"yo","Afghanistan","https://yo.wikipedia.org/wiki/Afghan%C3%ADst%C3%A0n"
"zu","Afghanistan","https://zu.wikipedia.org/wiki/I-Afganistani"
"af","Albania","https://af.wikipedia.org/wiki/Albani%C3%AB"
"sq","Albania","https://sq.wikipedia.org/wiki/Shqip%C3%ABria"
"am","Albania","https://am.wikipedia.org/wiki/%E1%8A%A0%E1%88%8D%E1%89%A3%E1%8A%92%E1%8B%AB"
"ar","Albania","https://ar.wikipedia.org/wiki/%D8%A3%D9%84%D8%A8%D8%A7%D9%86%D9%8A%D8%A7"
"hy","Albania","https://hy.wikipedia.org/wiki/%D4%B1%D5%AC%D5%A2%D5%A1%D5%B6%D5%AB%D5%A1"
"az","Albania","https://az.wikipedia.org/wiki/Albaniya"
"eu","Albania","https://eu.wikipedia.org/wiki/Albania"
"be","Albania","https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D1%96%D1%8F"
"bn","Albania","https://bn.wikipedia.org/wiki/%E0%A6%86%E0%A6%B2%E0%A6%AC%E0%A7%87%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE"
"bs","Albania","https://bs.wikipedia.org/wiki/Albanija"
"bg","Albania","https://bg.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F"
"ca","Albania","https://ca.wikipedia.org/wiki/Alb%C3%A0nia"
"ceb","Albania","https://ceb.wikipedia.org/wiki/Albanya"
"zh","Albania","https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%B7%B4%E5%B0%BC%E4%BA%9A"
"zh-TW","Albania","https://zh-classical.wikipedia.org/wiki/%E9%98%BF%E7%88%BE%E5%B7%B4%E5%B0%BC%E4%BA%9E"
"co","Albania","https://co.wikipedia.org/wiki/Albania"
"hr","Albania","https://hr.wikipedia.org/wiki/Albanija"
"cs","Albania","https://cs.wikipedia.org/wiki/Alb%C3%A1nie"
"da","Albania","https://da.wikipedia.org/wiki/Albanien"
"nl","Albania","https://nl.wikipedia.org/wiki/Albani%C3%AB"
"en","Albania","https://en.wikipedia.org/wiki/Albania"
"eo","Albania","https://eo.wikipedia.org/wiki/Albanio"
"et","Albania","https://et.wikipedia.org/wiki/Albaania"
"tl","Albania","https://tl.wikipedia.org/wiki/Albanya"
"fi","Albania","https://fi.wikipedia.org/wiki/Albania"
"fr","Albania","https://fr.wikipedia.org/wiki/Albanie"
"fy","Albania","https://fy.wikipedia.org/wiki/Albaanje"
"gl","Albania","https://gl.wikipedia.org/wiki/Albania"
"ka","Albania","https://ka.wikipedia.org/wiki/%E1%83%90%E1%83%9A%E1%83%91%E1%83%90%E1%83%9C%E1%83%94%E1%83%97%E1%83%98"
"de","Albania","https://de.wikipedia.org/wiki/Albanien"
"el","Albania","https://el.wikipedia.org/wiki/%CE%91%CE%BB%CE%B2%CE%B1%CE%BD%CE%AF%CE%B1"
"gu","Albania","https://gu.wikipedia.org/wiki/%E0%AA%86%E0%AA%B2%E0%AB%8D%E0%AA%AC%E0%AB%87%E0%AA%A8%E0%AA%BF%E0%AA%AF%E0%AA%BE"
"ht","Albania","https://ht.wikipedia.org/wiki/Albani"
"ha","Albania","https://ha.wikipedia.org/wiki/Albaniya"
"haw","Albania","https://haw.wikipedia.org/wiki/%CA%BBAlepania"
"hi","Albania","https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%AC%E0%A4%BE%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%BE"
"hu","Albania","https://hu.wikipedia.org/wiki/Alb%C3%A1nia"
"is","Albania","https://is.wikipedia.org/wiki/Alban%C3%ADa"
"ig","Albania","https://ig.wikipedia.org/wiki/Albania"
"id","Albania","https://id.wikipedia.org/wiki/Albania"
"ga","Albania","https://ga.wikipedia.org/wiki/An_Alb%C3%A1in"
"it","Albania","https://it.wikipedia.org/wiki/Albania"
"ja","Albania","https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%90%E3%83%8B%E3%82%A2"
"jw","Albania","https://jv.wikipedia.org/wiki/Albani"
"kn","Albania","https://kn.wikipedia.org/wiki/%E0%B2%85%E0%B2%B2%E0%B3%8D%E0%B2%AC%E0%B3%87%E0%B2%A8%E0%B2%BF%E0%B2%AF"
"kk","Albania","https://kk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F"
"km","Albania","https://km.wikipedia.org/wiki/%E1%9E%A2%E1%9E%B6%E1%9E%9B%E1%9F%8B%E1%9E%94%E1%9E%B6%E1%9E%93%E1%9E%B8"
"ko","Albania","https://ko.wikipedia.org/wiki/%EC%95%8C%EB%B0%94%EB%8B%88%EC%95%84"
"ku","Albania","https://ku.wikipedia.org/wiki/Albanya"
"ky","Albania","https://ky.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F"
"lo","Albania","https://lo.wikipedia.org/wiki/%E0%BA%9B%E0%BA%B0%E0%BB%80%E0%BA%97%E0%BA%94%E0%BA%AD%E0%BA%B2%E0%BA%99%E0%BA%9A%E0%BA%B2%E0%BA%99%E0%BA%B5"
"la","Albania","https://la.wikipedia.org/wiki/Albania"
"lv","Albania","https://lv.wikipedia.org/wiki/Alb%C4%81nija"
"lt","Albania","https://lt.wikipedia.org/wiki/Albanija"
"lb","Albania","https://lb.wikipedia.org/wiki/Albanien"
"mk","Albania","https://mk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%98%D0%B0"
"mg","Albania","https://mg.wikipedia.org/wiki/Albania"
"ms","Albania","https://ms.wikipedia.org/wiki/Albania"
"ml","Albania","https://ml.wikipedia.org/wiki/%E0%B4%85%E0%B5%BD%E0%B4%AC%E0%B5%87%E0%B4%A8%E0%B4%BF%E0%B4%AF"
"mt","Albania","https://mt.wikipedia.org/wiki/Albanija"
"mi","Albania","https://mi.wikipedia.org/wiki/Arapeinia"
"mr","Albania","https://mr.wikipedia.org/wiki/%E0%A4%86%E0%A4%B2%E0%A5%8D%E0%A4%AC%E0%A5%87%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%BE"
"mn","Albania","https://mn.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8"
"my","Albania","https://my.wikipedia.org/wiki/%E1%80%A1%E1%80%9A%E1%80%BA%E1%80%9C%E1%80%BA%E1%80%98%E1%80%B1%E1%80%B8%E1%80%94%E1%80%AE%E1%80%B8%E1%80%9A%E1%80%AC%E1%80%B8%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6"
"ne","Albania","https://ne.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%AC%E0%A4%BE%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%BE"
"no","Albania","https://no.wikipedia.org/wiki/Albania"
"ps","Albania","https://ps.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%A7%D9%86%DB%8C%D8%A7"
"fa","Albania","https://fa.wikipedia.org/wiki/%D8%A2%D9%84%D8%A8%D8%A7%D9%86%DB%8C"
"pl","Albania","https://pl.wikipedia.org/wiki/Albania"
"pt","Albania","https://pt.wikipedia.org/wiki/Alb%C3%A2nia"
"pa","Albania","https://pa.wikipedia.org/wiki/%E0%A8%85%E0%A8%B2%E0%A8%AC%E0%A8%BE%E0%A8%A8%E0%A9%80%E0%A8%86"
"ro","Albania","https://ro.wikipedia.org/wiki/Albania"
"ru","Albania","https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F"
"sm","Albania","https://sm.wikipedia.org/wiki/Alapenia"
"gd","Albania","https://gd.wikipedia.org/wiki/Alb%C3%A0inia"
"sr","Albania","https://sr.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%98%D0%B0"
"st","Albania","https://st.wikipedia.org/wiki/Albania"
"sn","Albania","https://sn.wikipedia.org/wiki/Arubhaniya"
"sd","Albania","https://sd.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%A7%D9%86%D9%8A%D8%A7"
"si","Albania","https://si.wikipedia.org/wiki/%E0%B6%87%E0%B6%BD%E0%B7%8A%E0%B6%B6%E0%B7%9A%E0%B6%B1%E0%B7%92%E0%B6%BA%E0%B7%8F%E0%B7%80"
"sk","Albania","https://sk.wikipedia.org/wiki/Alb%C3%A1nsko"
"sl","Albania","https://sl.wikipedia.org/wiki/Albanija"
"so","Albania","https://so.wikipedia.org/wiki/Albania"
"es","Albania","https://es.wikipedia.org/wiki/Albania"
"su","Albania","https://su.wikipedia.org/wiki/Albania"
"sw","Albania","https://sw.wikipedia.org/wiki/Albania"
"sv","Albania","https://sv.wikipedia.org/wiki/Albanien"
"tg","Albania","https://tg.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F"
"ta","Albania","https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B2%E0%AF%8D%E0%AE%AA%E0%AF%87%E0%AE%A9%E0%AE%BF%E0%AE%AF%E0%AE%BE"
"te","Albania","https://te.wikipedia.org/wiki/%E0%B0%85%E0%B0%B2%E0%B1%8D%E0%B0%AC%E0%B1%87%E0%B0%A8%E0%B0%BF%E0%B0%AF%E0%B0%BE"
"th","Albania","https://th.wikipedia.org/wiki/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%81%E0%B8%AD%E0%B8%A5%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2"
"tr","Albania","https://tr.wikipedia.org/wiki/Arnavutluk"
"uk","Albania","https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D1%96%D1%8F"
"ur","Albania","https://ur.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%A7%D9%86%DB%8C%D8%A7"
"uz","Albania","https://uz.wikipedia.org/wiki/Albaniya"
"vi","Albania","https://vi.wikipedia.org/wiki/Albania"
"cy","Albania","https://cy.wikipedia.org/wiki/Albania"
"yi","Albania","https://yi.wikipedia.org/wiki/%D7%90%D7%9C%D7%91%D7%90%D7%A0%D7%99%D7%A2"
"yo","Albania","https://yo.wikipedia.org/wiki/Alib%C3%A9n%C3%AD%C3%A0"
"zu","Albania","https://zu.wikipedia.org/wiki/I-Albaniya"
"af","Algeria","https://af.wikipedia.org/wiki/Algeri%C3%AB"
"sq","Algeria","https://sq.wikipedia.org/wiki/Algjeria"
"am","Algeria","https://am.wikipedia.org/wiki/%E1%8A%A0%E1%88%8D%E1%8C%84%E1%88%AA%E1%8B%AB"
"ar","Algeria","https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1"
"hy","Algeria","https://hy.wikipedia.org/wiki/%D4%B1%D5%AC%D5%AA%D5%AB%D6%80"
"az","Algeria","https://az.wikipedia.org/wiki/%C6%8Flc%C9%99zair"
"eu","Algeria","https://eu.wikipedia.org/wiki/Aljeria"
"be","Algeria","https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B6%D1%8B%D1%80"
"bn","Algeria","https://bn.wikipedia.org/wiki/%E0%A6%86%E0%A6%B2%E0%A6%9C%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE"
"bs","Algeria","https://bs.wikipedia.org/wiki/Al%C5%BEir"
"bg","Algeria","https://bg.wikipedia.org/wiki/%D0%90%D0%BB%D0%B6%D0%B8%D1%80"
"ca","Algeria","https://ca.wikipedia.org/wiki/Alg%C3%A8ria"
"ceb","Algeria","https://ceb.wikipedia.org/wiki/Arhelya"
"ny","Algeria","https://ny.wikipedia.org/wiki/Algeria"
"zh","Algeria","https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%8F%8A%E5%88%A9%E4%BA%9A"
"zh-TW","Algeria","https://zh-classical.wikipedia.org/wiki/%E9%98%BF%E7%88%BE%E5%8F%8A%E5%88%A9%E4%BA%9E"
"co","Algeria","https://co.wikipedia.org/wiki/Algeria"
"hr","Algeria","https://hr.wikipedia.org/wiki/Al%C5%BEir"
"cs","Algeria","https://cs.wikipedia.org/wiki/Al%C5%BE%C3%ADrsko"
"da","Algeria","https://da.wikipedia.org/wiki/Algeriet"
"nl","Algeria","https://nl.wikipedia.org/wiki/Algerije"
"en","Algeria","https://en.wikipedia.org/wiki/Algeria"
"eo","Algeria","https://eo.wikipedia.org/wiki/Al%C4%9Derio"
"et","Algeria","https://et.wikipedia.org/wiki/Al%C5%BEeeria"
"tl","Algeria","https://tl.wikipedia.org/wiki/Algeria"
"fi","Algeria","https://fi.wikipedia.org/wiki/Algeria"
"fr","Algeria","https://fr.wikipedia.org/wiki/Alg%C3%A9rie"
"fy","Algeria","https://fy.wikipedia.org/wiki/Algerije"
"gl","Algeria","https://gl.wikipedia.org/wiki/Alxeria"
"ka","Algeria","https://ka.wikipedia.org/wiki/%E1%83%90%E1%83%9A%E1%83%9F%E1%83%98%E1%83%A0%E1%83%98"
"de","Algeria","https://de.wikipedia.org/wiki/Algerien"
"el","Algeria","https://el.wikipedia.org/wiki/%CE%91%CE%BB%CE%B3%CE%B5%CF%81%CE%AF%CE%B1"
"gu","Algeria","https://gu.wikipedia.org/wiki/%E0%AA%85%E0%AA%B2%E0%AB%8D%E0%AA%9C%E0%AB%80%E0%AA%B0%E0%AA%BF%E0%AA%AF%E0%AA%BE"
"ht","Algeria","https://ht.wikipedia.org/wiki/Aljeri"
"ha","Algeria","https://ha.wikipedia.org/wiki/Aljeriya"
"haw","Algeria","https://haw.wikipedia.org/wiki/%CA%BBAlekelia"
"hi","Algeria","https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%9C%E0%A5%80%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE"
"hu","Algeria","https://hu.wikipedia.org/wiki/Alg%C3%A9ria"
"is","Algeria","https://is.wikipedia.org/wiki/Als%C3%ADr"
"ig","Algeria","https://ig.wikipedia.org/wiki/Algeria"
"id","Algeria","https://id.wikipedia.org/wiki/Aljazair"
"ga","Algeria","https://ga.wikipedia.org/wiki/An_Ailg%C3%A9ir"
"it","Algeria","https://it.wikipedia.org/wiki/Algeria"
"ja","Algeria","https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%82%B8%E3%82%A7%E3%83%AA%E3%82%A2"
"jw","Algeria","https://jv.wikipedia.org/wiki/Aljazair"
"kn","Algeria","https://kn.wikipedia.org/wiki/%E0%B2%85%E0%B2%B2%E0%B3%8D%E0%B2%9C%E0%B3%80%E0%B2%B0%E0%B2%BF%E0%B2%AF"
"kk","Algeria","https://kk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B6%D0%B8%D1%80"
