lat,long,hot,cold,tz
-26,-4.000000e+01,NA,NA,NA
-26,-3.888889e+01,NA,NA,NA
-26,-3.777778e+01,NA,NA,NA
-26,-3.666667e+01,NA,NA,NA
-26,-3.555556e+01,NA,NA,NA
-26,-3.444444e+01,NA,NA,NA
-26,-3.333333e+01,NA,NA,NA
-26,-3.222222e+01,NA,NA,NA
-26,-3.111111e+01,NA,NA,NA
-26,-3.000000e+01,NA,NA,NA
-26,-2.888889e+01,NA,NA,NA
-26,-2.777778e+01,NA,NA,NA
-26,-2.666667e+01,NA,NA,NA
-26,-2.555556e+01,NA,NA,NA
-26,-2.444444e+01,NA,NA,NA
-26,-2.333333e+01,NA,NA,NA
-26,-2.222222e+01,NA,NA,NA
-26,-2.111111e+01,NA,NA,NA
-26,-2.000000e+01,NA,NA,NA
-26,-1.888889e+01,NA,NA,NA
-26,-1.777778e+01,NA,NA,NA
-26,-1.666667e+01,NA,NA,NA
-26,-1.555556e+01,NA,NA,NA
-26,-1.444444e+01,NA,NA,NA
-26,-1.333333e+01,NA,NA,NA
-26,-1.222222e+01,NA,NA,NA
-26,-1.111111e+01,NA,NA,NA
-26,-1.000000e+01,NA,NA,NA
-26,-8.888889e+00,NA,NA,NA
-26,-7.777778e+00,NA,NA,NA
-26,-6.666667e+00,NA,NA,NA
-26,-5.555556e+00,NA,NA,NA
-26,-4.444444e+00,NA,NA,NA
-26,-3.333333e+00,NA,NA,NA
-26,-2.222222e+00,NA,NA,NA
-26,-1.111111e+00,NA,NA,NA
-26, 0.000000e+00,NA,NA,NA
-26, 1.111111e+00,NA,NA,NA
-26, 2.222222e+00,NA,NA,NA
-26, 3.333333e+00,NA,NA,NA
-26, 4.444444e+00,NA,NA,NA
-26, 5.555556e+00,NA,NA,NA
-26, 6.666667e+00,NA,NA,NA
-26, 7.777778e+00,NA,NA,NA
-26, 8.888889e+00,NA,NA,NA
-26, 1.000000e+01,NA,NA,NA
-26, 1.111111e+01,NA,NA,NA
-26, 1.222222e+01,NA,NA,NA
-26, 1.333333e+01,NA,NA,NA
-26, 1.444444e+01,NA,NA,NA
-26, 1.555556e+01,NA,NA,NA
-26, 1.666667e+01,NA,NA,NA
-26, 1.777778e+01,NA,NA,NA
-26, 1.888889e+01,NA,NA,NA
-26, 2.000000e+01,NA,NA,NA
-26, 2.111111e+01,NA,NA,NA
