lat,long,hot,cold,tz
 39,-135.0000000,NA,NA,NA
 39,-133.7143000,NA,NA,NA
 39,-132.4286000,NA,NA,NA
 39,-131.1429000,NA,NA,NA
 39,-129.8571000,NA,NA,NA
 39,-128.5714000,NA,NA,NA
 39,-127.2857000,NA,NA,NA
 39,-126.0000000,NA,NA,NA
 39,-124.7143000,NA,NA,NA
 39,-123.4286000,NA,NA,NA
 39,-122.1429000,NA,NA,NA
 39,-120.8571000,NA,NA,NA
 39,-119.5714000,NA,NA,NA
 39,-118.2857000,NA,NA,NA
 39,-117.0000000,NA,NA,NA
 39,-115.7143000,NA,NA,NA
 39,-114.4286000,NA,NA,NA
 39,-113.1429000,NA,NA,NA
 39,-111.8571000,NA,NA,NA
 39,-110.5714000,NA,NA,NA
 39,-109.2857000,NA,NA,NA
 39,-108.0000000,NA,NA,NA
 39,-106.7143000,NA,NA,NA
 39,-105.4286000,NA,NA,NA
 39,-104.1429000,NA,NA,NA
 39,-102.8571000,NA,NA,NA
 39,-101.5714000,NA,NA,NA
 39,-100.2857000,NA,NA,NA
 39, -99.0000000,NA,NA,NA
 39, -97.7142900,NA,NA,NA
 39, -96.4285700,NA,NA,NA
 39, -95.1428600,NA,NA,NA
 39, -93.8571400,NA,NA,NA
 39, -92.5714300,NA,NA,NA
 39, -91.2857100,NA,NA,NA
 39, -90.0000000,NA,NA,NA
 39, -88.7142900,NA,NA,NA
 39, -87.4285700,NA,NA,NA
 39, -86.1428600,NA,NA,NA
 39, -84.8571400,NA,NA,NA
 39, -83.5714300,NA,NA,NA
 39, -82.2857100,NA,NA,NA
 39, -81.0000000,NA,NA,NA
 39, -79.7142900,NA,NA,NA
 39, -78.4285700,NA,NA,NA
 39, -77.1428600,NA,NA,NA
 39, -75.8571400,NA,NA,NA
 39, -74.5714300,NA,NA,NA
 39, -73.2857100,NA,NA,NA
 39, -72.0000000,NA,NA,NA
 39, -70.7142900,NA,NA,NA
 39, -69.4285700,NA,NA,NA
 39, -68.1428600,NA,NA,NA
 39, -66.8571400,NA,NA,NA
 39, -65.5714300,NA,NA,NA
 39, -64.2857100,NA,NA,NA
 39, -63.0000000,NA,NA,NA
 39, -61.7142900,NA,NA,NA
 39, -60.4285700,NA,NA,NA
 39, -59.1428600,NA,NA,NA
 39, -57.8571400,NA,NA,NA
 39, -56.5714300,NA,NA,NA
 39, -55.2857100,NA,NA,NA
 39, -54.0000000,NA,NA,NA
 39, -52.7142900,NA,NA,NA
 39, -51.4285700,NA,NA,NA
 39, -50.1428600,NA,NA,NA
 39, -48.8571400,NA,NA,NA
 39, -47.5714300,NA,NA,NA
 39, -46.2857100,NA,NA,NA
 39, -45.0000000,NA,NA,NA
 39, -43.7142900,NA,NA,NA
 39, -42.4285700,NA,NA,NA
 39, -41.1428600,NA,NA,NA
 39, -39.8571400,NA,NA,NA
 39, -38.5714300,NA,NA,NA
 39, -37.2857100,NA,NA,NA
 39, -36.0000000,NA,NA,NA
 39, -34.7142900,NA,NA,NA
 39, -33.4285700,NA,NA,NA
 39, -32.1428600,NA,NA,NA
 39, -30.8571400,NA,NA,NA
 39, -29.5714300,NA,NA,NA
 39, -28.2857100,NA,NA,NA
 39, -27.0000000,NA,NA,NA
 39, -25.7142900,NA,NA,NA
 39, -24.4285700,NA,NA,NA
 39, -23.1428600,NA,NA,NA
 39, -21.8571400,NA,NA,NA
 39, -20.5714300,NA,NA,NA
 39, -19.2857100,NA,NA,NA
 39, -18.0000000,NA,NA,NA
 39, -16.7142900,NA,NA,NA
 39, -15.4285700,NA,NA,NA
 39, -14.1428600,NA,NA,NA
 39, -12.8571400,NA,NA,NA
 39, -11.5714300,NA,NA,NA
 39, -10.2857100,NA,NA,NA
 39,  -9.0000000,NA,NA,NA
 39,  -7.7142860,NA,NA,NA
 39,  -6.4285710,NA,NA,NA
 39,  -5.1428570,NA,NA,NA
 39,  -3.8571430,NA,NA,NA
 39,  -2.5714290,NA,NA,NA
 39,  -1.2857140,NA,NA,NA
 39,   0.0000000,NA,NA,NA
 39,   1.2857140,NA,NA,NA
 39,   2.5714290,NA,NA,NA
 39,   3.8571430,NA,NA,NA
 39,   5.1428570,NA,NA,NA
 39,   6.4285710,NA,NA,NA
 39,   7.7142860,NA,NA,NA
 39,   9.0000000,NA,NA,NA
 39,  10.2857100,NA,NA,NA
 39,  11.5714300,NA,NA,NA
 39,  12.8571400,NA,NA,NA
 39,  14.1428600,NA,NA,NA
 39,  15.4285700,NA,NA,NA
 39,  16.7142900,NA,NA,NA
 39,  18.0000000,NA,NA,NA
 39,  19.2857100,NA,NA,NA
 39,  20.5714300,NA,NA,NA
 39,  21.8571400,NA,NA,NA
 39,  23.1428600,NA,NA,NA
 39,  24.4285700,NA,NA,NA
 39,  25.7142900,NA,NA,NA
 39,  27.0000000,NA,NA,NA
 39,  28.2857100,NA,NA,NA
 39,  29.5714300,NA,NA,NA
 39,  30.8571400,NA,NA,NA
 39,  32.1428600,NA,NA,NA
 39,  33.4285700,NA,NA,NA
 39,  34.7142900,NA,NA,NA
 39,  36.0000000,NA,NA,NA
 39,  37.2857100,NA,NA,NA
 39,  38.5714300,NA,NA,NA
 39,  39.8571400,NA,NA,NA
 39,  41.1428600,NA,NA,NA
 39,  42.4285700,NA,NA,NA
 39,  43.7142900,NA,NA,NA
 39,  45.0000000,NA,NA,NA
 39,  46.2857100,NA,NA,NA
 39,  47.5714300,NA,NA,NA
 39,  48.8571400,NA,NA,NA
 39,  50.1428600,NA,NA,NA
 39,  51.4285700,NA,NA,NA
 39,  52.7142900,NA,NA,NA
 39,  54.0000000,NA,NA,NA
 39,  55.2857100,NA,NA,NA
 39,  56.5714300,NA,NA,NA
 39,  57.8571400,NA,NA,NA
 39,  59.1428600,NA,NA,NA
 39,  60.4285700,NA,NA,NA
 39,  61.7142900,NA,NA,NA
 39,  63.0000000,NA,NA,NA
 39,  64.2857100,NA,NA,NA
 39,  65.5714300,NA,NA,NA
 39,  66.8571400,NA,NA,NA
 39,  68.1428600,NA,NA,NA
 39,  69.4285700,NA,NA,NA
 39,  70.7142900,NA,NA,NA
 39,  72.0000000,NA,NA,NA
 39,  73.2857100,NA,NA,NA
 39,  74.5714300,NA,NA,NA
 39,  75.8571400,NA,NA,NA
 39,  77.1428600,NA,NA,NA
 39,  78.4285700,NA,NA,NA
 39,  79.7142900,NA,NA,NA
 39,  81.0000000,NA,NA,NA
 39,  82.2857100,NA,NA,NA
 39,  83.5714300,NA,NA,NA
 39,  84.8571400,NA,NA,NA
 39,  86.1428600,NA,NA,NA
 39,  87.4285700,NA,NA,NA
 39,  88.7142900,NA,NA,NA
 39,  90.0000000,NA,NA,NA
 39,  91.2857100,NA,NA,NA
 39,  92.5714300,NA,NA,NA
 39,  93.8571400,NA,NA,NA
 39,  95.1428600,NA,NA,NA
 39,  96.4285700,NA,NA,NA
 39,  97.7142900,NA,NA,NA
 39,  99.0000000,NA,NA,NA
 39, 100.2857000,NA,NA,NA
 39, 101.5714000,NA,NA,NA
 39, 102.8571000,NA,NA,NA
 39, 104.1429000,NA,NA,NA
 39, 105.4286000,NA,NA,NA
 39, 106.7143000,NA,NA,NA
 39, 108.0000000,NA,NA,NA
 39, 109.2857000,NA,NA,NA
 39, 110.5714000,NA,NA,NA
 39, 111.8571000,NA,NA,NA
 39, 113.1429000,NA,NA,NA
 39, 114.4286000,NA,NA,NA
 39, 115.7143000,NA,NA,NA
 39, 117.0000000,NA,NA,NA
 39, 118.2857000,NA,NA,NA
 39, 119.5714000,NA,NA,NA
 39, 120.8571000,NA,NA,NA
 39, 122.1429000,NA,NA,NA
 39, 123.4286000,NA,NA,NA
 39, 124.7143000,NA,NA,NA
 39, 126.0000000,NA,NA,NA
 39, 127.2857000,NA,NA,NA
 39, 128.5714000,NA,NA,NA
 39, 129.8571000,NA,NA,NA
 39, 131.1429000,NA,NA,NA
 39, 132.4286000,NA,NA,NA
 39, 133.7143000,NA,NA,NA
 39, 135.0000000,NA,NA,NA
 39, 136.2857000,NA,NA,NA
 39, 137.5714000,NA,NA,NA
 39, 138.8571000,NA,NA,NA
 39, 140.1429000,NA,NA,NA
 39, 141.4286000,NA,NA,NA
 39, 142.7143000,NA,NA,NA
 39, 144.0000000,NA,NA,NA
 39, 145.2857000,NA,NA,NA
 39, 146.5714000,NA,NA,NA
 39, 147.8571000,NA,NA,NA
 39, 149.1429000,NA,NA,NA
 39, 150.4286000,NA,NA,NA
 39, 151.7143000,NA,NA,NA
 39, 153.0000000,NA,NA,NA
 39, 154.2857000,NA,NA,NA
 39, 155.5714000,NA,NA,NA
 39, 156.8571000,NA,NA,NA
 39, 158.1429000,NA,NA,NA
 39, 159.4286000,NA,NA,NA
 39, 160.7143000,NA,NA,NA
 39, 162.0000000,NA,NA,NA
 39, 163.2857000,NA,NA,NA
 39, 164.5714000,NA,NA,NA
 39, 165.8571000,NA,NA,NA
 39, 167.1429000,NA,NA,NA
 39, 168.4286000,NA,NA,NA
 39, 169.7143000,NA,NA,NA
 39, 171.0000000,NA,NA,NA
 39, 172.2857000,NA,NA,NA
 39, 173.5714000,NA,NA,NA
 39, 174.8571000,NA,NA,NA
 39, 176.1429000,NA,NA,NA
 39, 177.4286000,NA,NA,NA
 39, 178.7143000,NA,NA,NA
 39, 180.0000000,NA,NA,NA
-39,-178.7143000,NA,NA,NA
-39,-177.4286000,NA,NA,NA
-39,-176.1429000,NA,NA,NA
-39,-174.8571000,NA,NA,NA
-39,-173.5714000,NA,NA,NA
